case_id,position_id,ts_recv_utc,seconds_before_decision,raw_i5,aligned_i5,spread_ticks
F009_PID000000484,484,2019-12-10T01:29:13.512594176+00:00,46.487405824,0.06818181818181818,0.06818181818181818,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512775936+00:00,46.487224064,0.06514657980456026,0.06514657980456026,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512870144+00:00,46.487129856,0.06818181818181818,0.06818181818181818,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512870144+00:00,46.487129856,0.06129032258064516,0.06129032258064516,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512895488+00:00,46.487104512,0.056179775280898875,0.056179775280898875,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512918272+00:00,46.487081728,0.05314009661835749,0.05314009661835749,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.512928512+00:00,46.487071488,0.0464,0.0464,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.513626112+00:00,46.486373888,0.03481012658227848,0.03481012658227848,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.586694144+00:00,46.413305856,0.021875,0.021875,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.588141056+00:00,46.411858944,0.024922118380062305,0.024922118380062305,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:13.601722112+00:00,46.398277888,0.03785488958990536,0.03785488958990536,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.006690560+00:00,44.99330944,0.03785488958990536,0.03785488958990536,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.705468928+00:00,44.294531072,0.03622047244094488,0.03622047244094488,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.714147840+00:00,44.28585216,0.03317535545023697,0.03317535545023697,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.728039680+00:00,44.27196032,0.0202808112324493,0.0202808112324493,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.731687424+00:00,44.268312576,0.017214397496087636,0.017214397496087636,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.736098816+00:00,44.263901184,0.004754358161648178,0.004754358161648178,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:15.758793728+00:00,44.241206272,0.004754358161648178,0.004754358161648178,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:16.183340544+00:00,43.816659456,0.007898894154818325,0.007898894154818325,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:16.196701696+00:00,43.803298304,0.011023622047244094,0.011023622047244094,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:16.197794304+00:00,43.802205696,0.011023622047244094,0.011023622047244094,1.0000000000021103
