position_id,direction,start,end,filename,source_status,degraded_source_date,causal_records,records_last_30s,records_prior_30s,aligned_imbalance_last,aligned_imbalance_median_30s,aligned_imbalance_change_30s,aligned_persistence_30s,spread_ticks_last,staleness_ms,book_alignment_score,quality_eligible,quality_reason,decision_time_server,decision_time_utc,decision_year,open_time,close_time,decision_time,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r,entry_time_utc,exit_time_utc,stop_pips,target_pips,hold_minutes,decision_entry_lag_minutes,entry_minute_utc,entry_hour_utc,entry_weekday,entry_month,entry_year,exit_class,mfe_r,mae_r,mfe_5m_r,mae_5m_r,mfe_15m_r,mae_15m_r,mfe_30m_r,mae_30m_r
760,SELL,2020-06-08T00:03:00Z,2020-06-08T00:05:00Z,CTRL_PID000000760_20200608T000500Z.dbn.zst,nonempty,False,1325,475,358,0.0751445086705202,0.0121654501216545,-0.0248133605413666,0.5873684210526315,1.0000000000021103,1514.223104,0.0435635954518013,True,PASS,2020.06.08 03:05:00,2020-06-08 00:05:00,2020,2020.06.08 03:10:00,2020.06.08 03:39:59,2020.06.08 03:05:00,0.26,1.1311,1.13033,1.13148,1.13034,38.0,9.88,18.98,1.9210526315789473,2020-06-08 00:10:00,2020-06-08 00:39:59,3.8000000000004697,7.600000000000939,29.983333333333334,5.0,10,0,Monday,2020-06,2020,TP_LIKE,2.0526315789471226,0.9473684210522932,0.9736842105261466,0.5789473684212679,1.6842105263155127,0.5789473684212679,2.0526315789471226,0.9473684210522932
764,BUY,2020-06-10T00:13:00Z,2020-06-10T00:15:00Z,CTRL_PID000000764_20200610T001500Z.dbn.zst,nonempty,False,894,310,278,0.0177777777777777,0.0832353767255099,-0.0772584504349838,0.7258064516129032,1.99999999999978,1764.926976,0.1352063015604606,True,PASS,2020.06.10 03:15:00,2020-06-10 00:15:00,2020,2020.06.10 03:20:00,2020.06.10 05:20:00,2020.06.10 03:15:00,0.15,1.13418,1.13394,1.13356,1.13542,62.0,9.3,-4.2,-0.45161290322580644,2020-06-10 00:20:00,2020-06-10 02:20:00,6.200000000000649,12.400000000001299,120.0,5.0,20,0,Wednesday,2020-06,2020,TIMEOUT_OR_OTHER,0.6612903225806105,0.6612903225806105,0.20967741935475784,0.048387096774147334,0.22580645161292634,0.4032258064517053,0.4516129032258527,0.4032258064517053
766,BUY,2020-06-11T00:03:00Z,2020-06-11T00:05:00Z,CTRL_PID000000766_20200611T000500Z.dbn.zst,nonempty,False,1738,98,285,0.0523560209424083,0.1239035087719298,-0.0309521342726896,1.0,0.9999999999976694,345.81248,0.3042137208177925,True,PASS,2020.06.11 03:05:00,2020-06-11 00:05:00,2020,2020.06.11 03:10:00,2020.06.11 03:58:24,2020.06.11 03:05:00,0.17,1.13751,1.13861,1.13696,1.13861,55.0,9.35,18.02,1.9272727272727272,2020-06-11 00:10:00,2020-06-11 00:58:24,5.5000000000005045,10.999999999998789,48.4,5.0,10,0,Thursday,2020-06,2020,TP_LIKE,2.4909090909086284,0.6181818181817741,0.03636363636346754,0.6181818181817741,0.6363636363637097,0.6181818181817741,0.9272727272726612,0.6181818181817741
768,SELL,2020-06-11T23:58:00Z,2020-06-12T00:00:00Z,CTRL_PID000000768_20200612T000000Z.dbn.zst,nonempty,False,1222,214,237,0.1215686274509803,0.1662929745889387,0.0625193896832783,0.9205607476635514,1.99999999999978,23.667456,0.3090567085470646,True,PASS,2020.06.12 03:00:00,2020-06-12 00:00:00,2020,2020.06.12 03:05:00,2020.06.12 03:24:35,2020.06.12 03:00:00,0.25,1.12875,1.12914,1.12914,1.12797,39.0,9.75,-10.75,-1.1025641025641026,2020-06-12 00:05:00,2020-06-12 00:24:35,3.900000000001125,7.800000000000029,19.583333333333332,5.0,5,0,Friday,2020-06,2020,SL_LIKE,1.692307692306904,1.0256410256411863,1.07692307692242,0.07692307692298933,1.692307692306904,0.07692307692298933,1.692307692306904,1.3333333333331436
774,SELL,2020-06-16T01:33:00Z,2020-06-16T01:35:00Z,CTRL_PID000000774_20200616T013500Z.dbn.zst,nonempty,False,914,130,301,0.0176678445229682,0.0609444265981368,0.0262222043759146,0.9230769230769232,1.99999999999978,1276.662528,0.2485662259315086,True,PASS,2020.06.16 04:35:00,2020-06-16 01:35:00,2020,2020.06.16 04:40:00,2020.06.16 05:05:27,2020.06.16 04:35:00,0.21,1.13276,1.13323,1.13323,1.13182,47.0,9.87,-10.709999999999999,-1.0851063829787233,2020-06-16 01:40:00,2020-06-16 02:05:27,4.699999999999704,9.399999999999409,25.45,5.0,100,1,Tuesday,2020-06,2020,SL_LIKE,0.042553191489170715,1.0638297872339924,0.042553191489170715,0.4680851063827676,0.042553191489170715,0.9148936170211861,0.042553191489170715,1.2978723404256123
780,SELL,2020-06-18T23:58:00Z,2020-06-19T00:00:00Z,CTRL_PID000000780_20200619T000000Z.dbn.zst,nonempty,False,532,134,166,0.1637931034482758,0.1453413806110901,0.0308214742879051,0.9402985074626866,1.99999999999978,2650.99904,0.3005253126088646,True,PASS,2020.06.19 03:00:00,2020-06-19 00:00:00,2020,2020.06.19 03:05:00,2020.06.19 04:32:38,2020.06.19 03:00:00,0.24,1.12045,1.12086,1.12086,1.11963,41.0,9.84,-10.8,-1.0975609756097562,2020-06-19 00:05:00,2020-06-19 01:32:38,4.100000000000215,8.20000000000043,87.63333333333334,5.0,5,0,Friday,2020-06,2020,SL_LIKE,1.365853658536255,0.9756097560974024,0.9024390243901514,0.024390243902597534,1.1463414634145022,0.024390243902597534,1.1463414634145022,0.024390243902597534
804,SELL,2020-07-02T23:58:00Z,2020-07-03T00:00:00Z,CTRL_PID000000804_20200703T000000Z.dbn.zst,nonempty,False,392,93,103,0.0289017341040462,0.0165016501650165,0.0064682053489629,0.5161290322580645,1.99999999999978,62.31296,0.0179323925487812,True,PASS,2020.07.03 03:00:00,2020-07-03 00:00:00,2020,2020.07.03 03:05:00,2020.07.03 03:09:11,2020.07.03 03:00:00,0.38,1.12367,1.12393,1.12393,1.12315,26.0,9.88,-11.4,-1.1538461538461537,2020-07-03 00:05:00,2020-07-03 00:09:11,2.60000000000149,5.199999999998539,4.183333333333334,5.0,5,0,Friday,2020-07,2020,SL_LIKE,0.2307692307689023,1.0,0.2307692307689023,1.0,0.2307692307689023,1.5384615384604874,0.499999999999573,1.5384615384604874
808,BUY,2020-07-05T23:58:00Z,2020-07-06T00:00:00Z,CTRL_PID000000808_20200706T000000Z.dbn.zst,nonempty,False,214,18,10,0.0631970260223048,0.0614492592798091,-0.0129012105930488,1.0,0.9999999999976694,3175.635456,0.2774993269916423,True,PASS,2020.07.06 03:00:00,2020-07-06 00:00:00,2020,2020.07.06 03:05:00,2020.07.06 04:49:24,2020.07.06 03:00:00,0.11,1.12547,1.12721,1.1246,1.12721,87.0,9.57,18.7,1.954022988505747,2020-07-06 00:05:00,2020-07-06 01:49:24,8.699999999999264,17.400000000000748,104.4,5.0,5,0,Monday,2020-07,2020,TP_LIKE,2.080459770115221,0.04597701149430274,0.7471264367817178,0.04597701149430274,0.9540229885059525,0.04597701149430274,1.1264367816092686,0.04597701149430274
810,BUY,2020-07-06T23:58:00Z,2020-07-07T00:00:00Z,CTRL_PID000000810_20200707T000000Z.dbn.zst,nonempty,False,315,118,78,0.0275229357798165,0.0824844179344548,0.0982701592814399,0.940677966101695,1.0000000000021103,1040.409856,0.2861487318384348,True,PASS,2020.07.07 03:00:00,2020-07-07 00:00:00,2020,2020.07.07 03:05:00,2020.07.07 03:27:59,2020.07.07 03:00:00,0.15,1.13153,1.13283,1.13088,1.13283,65.0,9.75,18.9,1.9384615384615382,2020-07-07 00:05:00,2020-07-07 00:27:59,6.499999999998174,13.000000000000789,22.983333333333334,5.0,5,0,Tuesday,2020-07,2020,TP_LIKE,2.000000000000683,0.12307692307673913,0.4153846153847205,0.12307692307673913,1.0615384615388819,0.12307692307673913,2.0307692307697827,0.12307692307673913
814,SELL,2020-07-09T00:48:00Z,2020-07-09T00:50:00Z,CTRL_PID000000814_20200709T005000Z.dbn.zst,nonempty,False,779,71,204,0.065989847715736,0.0831234256926952,0.0027646812980763,1.0,0.9999999999976694,1871.336192,0.2922528831708667,True,PASS,2020.07.09 03:50:00,2020-07-09 00:50:00,2020,2020.07.09 03:55:00,2020.07.09 04:54:25,2020.07.09 03:50:00,0.24,1.13343,1.13384,1.13383,1.13263,40.0,9.6,-10.8,-1.1250000000000002,2020-07-09 00:55:00,2020-07-09 01:54:25,3.9999999999995595,7.999999999999119,59.416666666666664,5.0,55,0,Thursday,2020-07,2020,SL_LIKE,1.700000000000222,1.1000000000001111,0.3249999999999445,0.25,1.049999999999778,0.25,1.1750000000000556,0.25
816,SELL,2020-07-09T23:58:00Z,2020-07-10T00:00:00Z,CTRL_PID000000816_20200710T000000Z.dbn.zst,nonempty,False,196,23,62,0.08125,0.0897832817337461,0.1899369598993141,0.9565217391304348,1.0000000000021103,785.675776,0.320636750406919,True,PASS,2020.07.10 03:00:00,2020-07-10 00:00:00,2020,2020.07.10 03:05:00,2020.07.10 03:51:35,2020.07.10 03:00:00,0.17,1.12834,1.12717,1.12892,1.12718,58.0,9.86,19.21,1.9482758620689657,2020-07-10 00:05:00,2020-07-10 00:51:35,5.800000000000249,11.599999999998278,46.583333333333336,5.0,5,0,Friday,2020-07,2020,TP_LIKE,2.206896551723953,0.224137931034793,0.4999999999998086,0.06896551724144531,0.4999999999998086,0.13793103448289062,0.4999999999998086,0.224137931034793
820,SELL,2020-07-13T00:33:00Z,2020-07-13T00:35:00Z,CTRL_PID000000820_20200713T003500Z.dbn.zst,nonempty,False,501,131,253,0.0236220472440944,0.0263157894736842,0.0329383060299756,0.5954198473282443,1.99999999999978,9721.814528,0.0691023949084581,True,PASS,2020.07.13 03:35:00,2020-07-13 00:35:00,2020,2020.07.13 03:40:00,2020.07.13 03:45:36,2020.07.13 03:35:00,0.29,1.13086,1.1312,1.1312,1.13018,34.0,9.86,-11.02,-1.1176470588235294,2020-07-13 00:40:00,2020-07-13 00:45:36,3.4000000000000696,6.800000000000139,5.6,5.0,40,0,Monday,2020-07,2020,SL_LIKE,0.08823529411757022,1.0294117647060745,0.08823529411757022,0.6470588235297191,0.08823529411757022,1.5882352941175701,0.08823529411757022,3.8235294117648597
