observation_date,WIMFSL
2001-07-23,1081.3
2001-07-30,1065.6
2001-08-06,1050.5
2001-08-13,1054.0
2001-08-20,1043.2
2001-08-27,1065.7
2001-09-03,1084.0
2001-09-10,1070.4
2001-09-17,1074.4
2001-09-24,1153.8
2001-10-01,1144.1
2001-10-08,1172.0
2001-10-15,1183.3
2001-10-22,1187.6
2001-10-29,1190.7
2001-11-05,1190.0
2001-11-12,1210.3
2001-11-19,1207.9
2001-11-26,1216.8
2001-12-03,1231.6
2001-12-10,1220.5
2001-12-17,1233.9
2001-12-24,1236.2
2001-12-31,1226.1
2002-01-07,1212.0
2002-01-14,1221.4
2002-01-21,1231.7
2002-01-28,1233.0
2002-02-04,1231.2
2002-02-11,1230.5
2002-02-18,1238.2
2002-02-25,1234.3
2002-03-04,1229.6
2002-03-11,1230.3
2002-03-18,1243.2
2002-03-25,1240.2
2002-04-01,1231.3
2002-04-08,1234.0
2002-04-15,1232.2
2002-04-22,1247.0
2002-04-29,1254.7
2002-05-06,1239.3
2002-05-13,1247.3
2002-05-20,1242.9
2002-05-27,1259.6
2002-06-03,1245.0
2002-06-10,1242.0
2002-06-17,1248.0
2002-06-24,1252.7
2002-07-01,1227.1
2002-07-08,1238.5
2002-07-15,1238.6
2002-07-22,1248.6
2002-07-29,1248.4
2002-08-05,1229.7
2002-08-12,1228.8
2002-08-19,1234.3
2002-08-26,1227.6
2002-09-02,1217.4
2002-09-09,1201.8
2002-09-16,1216.6
2002-09-23,1212.2
2002-09-30,1201.3
2002-10-07,1192.8
2002-10-14,1186.3
2002-10-21,1187.2
2002-10-28,1186.5
2002-11-04,1182.0
2002-11-11,1214.8
2002-11-18,1287.4
2002-11-25,1308.1
2002-12-02,1292.0
2002-12-09,1302.8
2002-12-16,1299.1
2002-12-23,1286.2
2002-12-30,1265.2
2003-01-06,1258.5
2003-01-13,1254.0
2003-01-20,1255.2
2003-01-27,1274.1
2003-02-03,1266.6
2003-02-10,1252.1
2003-02-17,1253.0
2003-02-24,1249.3
2003-03-03,1235.4
2003-03-10,1228.0
2003-03-17,1243.4
2003-03-24,1239.6
2003-03-31,1223.6
2003-04-07,1216.4
2003-04-14,1209.6
2003-04-21,1212.5
2003-04-28,1214.6
2003-05-05,1195.8
2003-05-12,1196.5
2003-05-19,1193.7
2003-05-26,1191.4
2003-06-02,1185.0
2003-06-09,1183.7
2003-06-16,1180.5
2003-06-23,1194.8
2003-06-30,1235.1
2003-07-07,1247.7
2003-07-14,1242.5
2003-07-21,1238.4
2003-07-28,1230.5
2003-08-04,1218.7
2003-08-11,1206.4
2003-08-18,1199.4
2003-08-25,1202.9
2003-09-01,1190.4
2003-09-08,1190.8
2003-09-15,1194.7
2003-09-22,1200.0
2003-09-29,1199.6
2003-10-06,1177.3
2003-10-13,1184.8
