symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,exit_reason,leg_gross_json
BASKET,-1,2019-02-11T00:00:00+00:00,2019-02-15T00:00:00+00:00,12.266666666666973,10.766666666666973,9.266666666666973,candidate,friday_flat,"{""EURUSD"": 15.699999999998493, ""GBPUSD"": 28.400000000001757, ""USDJPY"": -7.299999999999329}"
BASKET,-1,2019-02-18T00:00:00+00:00,2019-02-21T00:00:00+00:00,43.53333333333268,42.033333333332685,40.533333333332685,candidate,flat_signal,"{""EURUSD"": 24.899999999998812, ""GBPUSD"": 116.19999999999963, ""USDJPY"": -10.500000000000398}"
BASKET,-1,2019-02-25T00:00:00+00:00,2019-02-27T00:00:00+00:00,76.73333333333387,75.23333333333387,73.73333333333387,candidate,flat_signal,"{""EURUSD"": 12.499999999999734, ""GBPUSD"": 211.00000000000117, ""USDJPY"": 6.700000000000728}"
BASKET,-1,2019-03-04T00:00:00+00:00,2019-03-05T00:00:00+00:00,-15.733333333334206,-17.233333333334205,-18.733333333334205,candidate,flat_signal,"{""EURUSD"": -31.70000000000117, ""GBPUSD"": -1.3000000000018552, ""USDJPY"": -14.19999999999959}"
BASKET,-1,2019-03-11T00:00:00+00:00,2019-03-12T00:00:00+00:00,-47.45066697661855,-48.95066697661855,-50.45066697661855,candidate,stop,"{""EURUSD"": 39.20000000000145, ""GBPUSD"": -168.75200092985708, ""USDJPY"": -12.800000000000011}"
BASKET,-1,2019-03-18T00:00:00+00:00,2019-03-21T00:00:00+00:00,-34.402606417248315,-35.902606417248315,-37.402606417248315,candidate,stop,"{""EURUSD"": 37.799999999998946, ""GBPUSD"": -200.1078192517447, ""USDJPY"": 59.10000000000082}"
BASKET,-1,2019-03-21T00:00:00+00:00,2019-03-22T00:00:00+00:00,31.71681245021585,30.21681245021585,28.71681245021585,candidate,stop,"{""EURUSD"": -92.64956264935175, ""GBPUSD"": 96.19999999999962, ""USDJPY"": 91.59999999999968}"
BASKET,-1,2019-03-25T00:00:00+00:00,2019-03-28T00:00:00+00:00,-103.60676205398103,-105.10676205398103,-106.60676205398103,candidate,stop,"{""EURUSD"": -96.12028616194256, ""GBPUSD"": -149.20000000000044, ""USDJPY"": -65.50000000000011}"
BASKET,-1,2019-03-28T00:00:00+00:00,2019-03-29T00:00:00+00:00,-14.733333333333192,-16.233333333333192,-17.733333333333192,candidate,friday_flat,"{""EURUSD"": -9.299999999998754, ""GBPUSD"": -16.700000000000603, ""USDJPY"": -18.200000000000216}"
BASKET,-1,2019-04-01T00:00:00+00:00,2019-04-05T00:00:00+00:00,-33.86666666666708,-35.36666666666708,-36.86666666666708,candidate,friday_flat,"{""EURUSD"": 3.5000000000007248, ""GBPUSD"": -68.70000000000154, ""USDJPY"": -36.40000000000043}"
BASKET,-1,2019-04-08T00:00:00+00:00,2019-04-09T00:00:00+00:00,8.10000000000007,6.60000000000007,5.10000000000007,candidate,flat_signal,"{""EURUSD"": 0.0, ""GBPUSD"": -8.900000000000574, ""USDJPY"": 33.200000000000784}"
BASKET,-1,2019-04-10T00:00:00+00:00,2019-04-11T00:00:00+00:00,-40.56666666666695,-42.06666666666695,-43.56666666666695,candidate,flat_signal,"{""EURUSD"": -21.700000000000053, ""GBPUSD"": -35.70000000000073, ""USDJPY"": -64.30000000000007}"
BASKET,-1,2019-04-16T00:00:00+00:00,2019-04-18T00:00:00+00:00,-35.199999999999555,-36.699999999999555,-38.199999999999555,candidate,flat_signal,"{""EURUSD"": -49.399999999999444, ""GBPUSD"": -58.79999999999885, ""USDJPY"": 2.599999999999625}"
BASKET,-1,2019-04-22T00:00:00+00:00,2019-04-24T00:00:00+00:00,-58.50807249435214,-60.00807249435214,-61.50807249435214,candidate,stop,"{""EURUSD"": -72.12421748305609, ""GBPUSD"": -78.19999999999938, ""USDJPY"": -25.200000000000955}"
BASKET,-1,2019-04-24T00:00:00+00:00,2019-04-25T00:00:00+00:00,10.466666666666402,8.966666666666402,7.466666666666402,candidate,flat_signal,"{""EURUSD"": -21.100000000000563, ""GBPUSD"": -3.8000000000004697, ""USDJPY"": 56.30000000000024}"
BASKET,-1,2019-04-30T00:00:00+00:00,2019-05-01T00:00:00+00:00,0.8333333333335524,-0.6666666666664476,-2.1666666666664476,candidate,flat_signal,"{""EURUSD"": -19.899999999999363, ""GBPUSD"": 17.599999999999838, ""USDJPY"": 4.800000000000182}"
BASKET,-1,2019-05-02T00:00:00+00:00,2019-05-03T00:00:00+00:00,71.29999999999991,69.79999999999991,68.29999999999991,candidate,friday_flat,"{""EURUSD"": 31.200000000000117, ""GBPUSD"": 141.5999999999995, ""USDJPY"": 41.100000000000136}"
BASKET,-1,2019-05-07T00:00:00+00:00,2019-05-09T00:00:00+00:00,0.9999999999999183,-0.5000000000000817,-2.0000000000000817,candidate,flat_signal,"{""EURUSD"": 22.200000000001108, ""GBPUSD"": -65.60000000000122, ""USDJPY"": 46.399999999999864}"
BASKET,-1,2019-05-14T00:00:00+00:00,2019-05-16T00:00:00+00:00,-53.59999999999999,-55.09999999999999,-56.59999999999999,candidate,flat_signal,"{""EURUSD"": -29.399999999999427, ""GBPUSD"": -107.80000000000011, ""USDJPY"": -23.60000000000042}"
BASKET,-1,2019-05-27T00:00:00+00:00,2019-05-29T00:00:00+00:00,-40.09999999999998,-41.59999999999998,-43.09999999999999,candidate,flat_signal,"{""EURUSD"": -60.600000000001764, ""GBPUSD"": -52.69999999999886, ""USDJPY"": -6.999999999999318}"
BASKET,-1,2019-06-03T00:00:00+00:00,2019-06-07T00:00:00+00:00,51.1666666666675,49.6666666666675,48.1666666666675,candidate,friday_flat,"{""EURUSD"": 91.60000000000056, ""GBPUSD"": 75.40000000000101, ""USDJPY"": -13.49999999999909}"
BASKET,-1,2019-06-10T00:00:00+00:00,2019-06-13T00:00:00+00:00,-13.266666666666302,-14.766666666666302,-16.2666666666663,candidate,flat_signal,"{""EURUSD"": -34.89999999999993, ""GBPUSD"": -9.699999999999154, ""USDJPY"": 4.800000000000182}"
BASKET,-1,2019-06-17T00:00:00+00:00,2019-06-19T00:00:00+00:00,52.53333333333385,51.03333333333385,49.53333333333385,candidate,flat_signal,"{""EURUSD"": 8.099999999999774, ""GBPUSD"": 105.50000000000058, ""USDJPY"": 44.000000000001194}"
BASKET,-1,2019-06-20T00:00:00+00:00,2019-06-21T00:00:00+00:00,38.99999999999975,37.49999999999975,35.99999999999975,candidate,friday_flat,"{""EURUSD"": 78.30000000000003, ""GBPUSD"": 42.1999999999989, ""USDJPY"": -3.499999999999659}"
BASKET,-1,2019-06-24T00:00:00+00:00,2019-06-25T00:00:00+00:00,-24.200000000000117,-25.700000000000117,-27.200000000000117,candidate,flat_signal,"{""EURUSD"": -32.30000000000066, ""GBPUSD"": -51.999999999998714, ""USDJPY"": 11.699999999999022}"
BASKET,-1,2019-07-01T00:00:00+00:00,2019-07-05T00:00:00+00:00,-59.821161012204946,-61.321161012204946,-62.821161012204946,candidate,stop,"{""EURUSD"": -60.2999999999998, ""GBPUSD"": -117.26348303661592, ""USDJPY"": -1.8999999999991246}"
BASKET,-1,2019-07-08T00:00:00+00:00,2019-07-12T00:00:00+00:00,66.83333333333309,65.33333333333309,63.83333333333309,candidate,friday_flat,"{""EURUSD"": 55.699999999998525, ""GBPUSD"": 61.9000000000014, ""USDJPY"": 82.89999999999935}"
BASKET,-1,2019-07-15T00:00:00+00:00,2019-07-16T00:00:00+00:00,-62.783206858394266,-64.28320685839427,-65.78320685839427,candidate,stop,"{""EURUSD"": -47.399999999999665, ""GBPUSD"": -107.74962057518377, ""USDJPY"": -33.19999999999936}"
BASKET,-1,2019-07-16T00:00:00+00:00,2019-07-19T00:00:00+00:00,52.96666666666679,51.46666666666679,49.96666666666679,candidate,friday_flat,"{""EURUSD"": 9.099999999999664, ""GBPUSD"": 95.40000000000103, ""USDJPY"": 54.39999999999969}"
BASKET,-1,2019-07-22T00:00:00+00:00,2019-07-23T00:00:00+00:00,-43.56666666666671,-45.06666666666671,-46.56666666666671,candidate,flat_signal,"{""EURUSD"": -57.70000000000053, ""GBPUSD"": -37.4999999999992, ""USDJPY"": -35.5000000000004}"
BASKET,1,2019-08-01T00:00:00+00:00,2019-08-02T00:00:00+00:00,-40.133333333332935,-41.633333333332935,-43.133333333332935,candidate,friday_flat,"{""EURUSD"": -20.299999999999763, ""GBPUSD"": -26.299999999999102, ""USDJPY"": -73.79999999999995}"
BASKET,-1,2019-08-05T00:00:00+00:00,2019-08-06T00:00:00+00:00,-27.687675972272,-29.187675972272,-30.687675972272,candidate,stop,"{""EURUSD"": -5.300000000001415, ""GBPUSD"": 24.200000000000887, ""USDJPY"": -101.96302791681546}"
BASKET,-1,2019-08-12T00:00:00+00:00,2019-08-13T00:00:00+00:00,-55.9840716630464,-57.4840716630464,-58.9840716630464,candidate,stop,"{""EURUSD"": -42.200000000001125, ""GBPUSD"": -15.600000000000058, ""USDJPY"": -110.15221498913803}"
BASKET,-1,2019-08-13T00:00:00+00:00,2019-08-14T00:00:00+00:00,15.233333333333505,13.733333333333505,12.233333333333505,candidate,flat_signal,"{""EURUSD"": -33.199999999999896, ""GBPUSD"": -4.999999999999449, ""USDJPY"": 83.89999999999986}"
BASKET,-1,2019-08-19T00:00:00+00:00,2019-08-23T00:00:00+00:00,113.00000000000018,111.50000000000018,110.00000000000018,candidate,friday_flat,"{""EURUSD"": 60.80000000000085, ""GBPUSD"": 156.30000000000032, ""USDJPY"": 121.89999999999941}"
BASKET,-1,2019-08-26T00:00:00+00:00,2019-08-30T00:00:00+00:00,-51.63585621297963,-53.13585621297963,-54.63585621297963,candidate,stop,"{""EURUSD"": -86.90756863893867, ""GBPUSD"": -54.6000000000002, ""USDJPY"": -13.400000000000034}"
BASKET,-1,2019-09-02T00:00:00+00:00,2019-09-06T00:00:00+00:00,68.06666666666678,66.56666666666678,65.06666666666678,candidate,friday_flat,"{""EURUSD"": 54.89999999999995, ""GBPUSD"": 218.30000000000015, ""USDJPY"": -68.99999999999977}"
BASKET,-1,2019-09-09T00:00:00+00:00,2019-09-12T00:00:00+00:00,-59.91074389465484,-61.41074389465484,-62.91074389465484,candidate,stop,"{""EURUSD"": -83.13223168396443, ""GBPUSD"": -10.799999999999699, ""USDJPY"": -85.80000000000041}"
BASKET,-1,2019-09-17T00:00:00+00:00,2019-09-19T00:00:00+00:00,0.5666666666657901,-0.9333333333342088,-2.433333333334209,candidate,rebalance,"{""EURUSD"": -31.70000000000117, ""GBPUSD"": 24.199999999998667, ""USDJPY"": 9.199999999999875}"
