family,symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,exit_reason,leg_gross_json
candidate,BASKET,-1,2018-09-19T00:00:00+00:00,2018-09-20T00:00:00+00:00,66.46666666666695,64.96666666666695,63.46666666666695,flat_signal,"{""EURUSD"": 104.5000000000007, ""GBPUSD"": 116.60000000000004, ""USDJPY"": -21.699999999999875}"
candidate,BASKET,1,2018-09-25T00:00:00+00:00,2018-09-26T00:00:00+00:00,5.333333333333072,3.8333333333330715,2.3333333333330715,flat_signal,"{""EURUSD"": 27.900000000000702, ""GBPUSD"": 14.499999999999513, ""USDJPY"": -26.400000000001}"
candidate,BASKET,1,2018-09-27T00:00:00+00:00,2018-09-28T00:00:00+00:00,38.133333333333574,36.633333333333574,35.133333333333574,friday_flat,"{""EURUSD"": 38.69999999999818, ""GBPUSD"": 44.00000000000181, ""USDJPY"": 31.700000000000728}"
candidate,BASKET,-1,2018-10-02T00:00:00+00:00,2018-10-03T00:00:00+00:00,-63.82293630541739,-65.3229363054174,-66.8229363054174,stop,"{""EURUSD"": -69.39999999999947, ""GBPUSD"": -41.600000000001636, ""USDJPY"": -80.46880891625108}"
candidate,BASKET,1,2018-10-03T00:00:00+00:00,2018-10-04T00:00:00+00:00,-68.9903456169348,-70.4903456169348,-71.9903456169348,stop,"{""EURUSD"": -36.79999999999905, ""GBPUSD"": -84.50000000000068, ""USDJPY"": -85.67103685080468}"
candidate,BASKET,-1,2018-10-04T00:00:00+00:00,2018-10-05T00:00:00+00:00,41.799999999999535,40.299999999999535,38.799999999999535,friday_flat,"{""EURUSD"": 9.999999999998899, ""GBPUSD"": 94.39999999999893, ""USDJPY"": 21.000000000000796}"
candidate,BASKET,1,2018-10-08T00:00:00+00:00,2018-10-10T00:00:00+00:00,-74.65586345495865,-76.15586345495865,-77.65586345495865,stop,"{""EURUSD"": -27.500000000000302, ""GBPUSD"": -101.99999999999986, ""USDJPY"": -94.46759036487578}"
candidate,BASKET,1,2018-10-10T00:00:00+00:00,2018-10-12T00:00:00+00:00,-4.933333333333351,-6.433333333333351,-7.933333333333351,friday_flat,"{""EURUSD"": -40.19999999999912, ""GBPUSD"": 33.799999999999386, ""USDJPY"": -8.400000000000318}"
candidate,BASKET,-1,2018-10-15T00:00:00+00:00,2018-10-16T00:00:00+00:00,-9.16666666666727,-10.66666666666727,-12.16666666666727,flat_signal,"{""EURUSD"": -5.1000000000001044, ""GBPUSD"": 25.899999999998702, ""USDJPY"": -48.30000000000041}"
candidate,BASKET,-1,2018-10-17T00:00:00+00:00,2018-10-18T00:00:00+00:00,-32.69999999999937,-34.19999999999937,-35.69999999999937,flat_signal,"{""EURUSD"": -47.600000000000975, ""GBPUSD"": -95.5999999999979, ""USDJPY"": 45.10000000000076}"
candidate,BASKET,1,2018-10-24T00:00:00+00:00,2018-10-26T00:00:00+00:00,2.7333333333335346,1.2333333333335343,-0.2666666666664656,friday_flat,"{""EURUSD"": -10.999999999998789, ""GBPUSD"": 55.899999999999835, ""USDJPY"": -36.70000000000044}"
candidate,BASKET,1,2018-10-29T00:00:00+00:00,2018-10-30T00:00:00+00:00,63.800000000000374,62.300000000000374,60.800000000000374,flat_signal,"{""EURUSD"": 28.900000000000592, ""GBPUSD"": 89.50000000000013, ""USDJPY"": 73.0000000000004}"
candidate,BASKET,-1,2018-10-31T00:00:00+00:00,2018-11-02T00:00:00+00:00,80.83333333333249,79.33333333333249,77.83333333333249,friday_flat,"{""EURUSD"": 72.39999999999912, ""GBPUSD"": 195.99999999999838, ""USDJPY"": -25.900000000000034}"
candidate,BASKET,-1,2018-11-07T00:00:00+00:00,2018-11-09T00:00:00+00:00,-91.0333333333332,-92.5333333333332,-94.0333333333332,friday_flat,"{""EURUSD"": -91.20000000000016, ""GBPUSD"": -151.9999999999988, ""USDJPY"": -29.90000000000066}"
candidate,BASKET,1,2018-11-12T00:00:00+00:00,2018-11-13T00:00:00+00:00,-81.5301385549695,-83.0301385549695,-84.5301385549695,stop,"{""EURUSD"": -72.40000000000136, ""GBPUSD"": -168.89041566490846, ""USDJPY"": -3.299999999998704}"
candidate,BASKET,1,2018-11-13T00:00:00+00:00,2018-11-14T00:00:00+00:00,-18.633333333333635,-20.133333333333635,-21.633333333333635,flat_signal,"{""EURUSD"": -18.199999999999328, ""GBPUSD"": -18.700000000000383, ""USDJPY"": -19.000000000001194}"
candidate,BASKET,1,2018-11-15T00:00:00+00:00,2018-11-16T00:00:00+00:00,-78.80773526909947,-80.30773526909947,-81.80773526909947,stop,"{""EURUSD"": -88.50000000000024, ""GBPUSD"": -53.099999999999255, ""USDJPY"": -94.8232058072989}"
candidate,BASKET,1,2018-11-20T00:00:00+00:00,2018-11-22T00:00:00+00:00,-34.16666666666691,-35.66666666666691,-37.16666666666691,flat_signal,"{""EURUSD"": -31.000000000001027, ""GBPUSD"": -89.20000000000039, ""USDJPY"": 17.70000000000067}"
candidate,BASKET,-1,2018-11-27T00:00:00+00:00,2018-11-28T00:00:00+00:00,56.0333333333333,54.5333333333333,53.0333333333333,flat_signal,"{""EURUSD"": 78.49999999999912, ""GBPUSD"": 79.29999999999993, ""USDJPY"": 10.300000000000864}"
candidate,BASKET,-1,2018-11-29T00:00:00+00:00,2018-11-30T00:00:00+00:00,-39.03333333333405,-40.53333333333405,-42.03333333333405,friday_flat,"{""EURUSD"": -77.0000000000004, ""GBPUSD"": -40.800000000000836, ""USDJPY"": 0.6999999999990791}"
candidate,BASKET,-1,2018-12-04T00:00:00+00:00,2018-12-05T00:00:00+00:00,-7.533333333333185,-9.033333333333184,-10.533333333333184,rebalance,"{""EURUSD"": 2.1999999999988695, ""GBPUSD"": 16.80000000000126, ""USDJPY"": -41.59999999999968}"
candidate,BASKET,1,2018-12-05T00:00:00+00:00,2018-12-06T00:00:00+00:00,-56.71715778391712,-58.21715778391712,-59.71715778391712,stop,"{""EURUSD"": -30.09999999999957, ""GBPUSD"": -50.200000000000244, ""USDJPY"": -89.85147335175157}"
candidate,BASKET,1,2018-12-06T00:00:00+00:00,2018-12-07T00:00:00+00:00,10.499999999999599,8.999999999999599,7.4999999999995985,friday_flat,"{""EURUSD"": -21.600000000001618, ""GBPUSD"": 51.49999999999988, ""USDJPY"": 1.6000000000005343}"
candidate,BASKET,1,2018-12-10T00:00:00+00:00,2018-12-11T00:00:00+00:00,38.96666666666642,37.46666666666642,35.96666666666642,flat_signal,"{""EURUSD"": 38.90000000000171, ""GBPUSD"": 73.89999999999786, ""USDJPY"": 4.099999999999682}"
candidate,BASKET,1,2018-12-17T00:00:00+00:00,2018-12-19T00:00:00+00:00,-18.266666666666165,-19.766666666666165,-21.266666666666165,flat_signal,"{""EURUSD"": -28.89999999999837, ""GBPUSD"": 9.799999999999809, ""USDJPY"": -35.69999999999993}"
candidate,BASKET,1,2018-12-20T00:00:00+00:00,2018-12-21T00:00:00+00:00,29.633333333332775,28.133333333332775,26.633333333332775,friday_flat,"{""EURUSD"": 78.70000000000043, ""GBPUSD"": 18.099999999998673, ""USDJPY"": -7.900000000000773}"
candidate,BASKET,1,2018-12-24T00:00:00+00:00,2018-12-27T00:00:00+00:00,36.03333333333412,34.53333333333412,33.03333333333412,rebalance,"{""EURUSD"": -12.799999999999478, ""GBPUSD"": 56.80000000000129, ""USDJPY"": 64.10000000000053}"
candidate,BASKET,-1,2018-12-27T00:00:00+00:00,2018-12-28T00:00:00+00:00,44.10000000000025,42.60000000000025,41.10000000000025,friday_flat,"{""EURUSD"": 10.600000000000609, ""GBPUSD"": 53.19999999999991, ""USDJPY"": 68.50000000000023}"
candidate,BASKET,-1,2019-01-07T00:00:00+00:00,2019-01-08T00:00:00+00:00,-32.699999999999015,-34.199999999999015,-35.69999999999902,flat_signal,"{""EURUSD"": -33.29999999999833, ""GBPUSD"": -62.29999999999958, ""USDJPY"": -2.4999999999991473}"
candidate,BASKET,-1,2019-01-09T00:00:00+00:00,2019-01-10T00:00:00+00:00,-36.60000000000017,-38.10000000000017,-39.60000000000017,flat_signal,"{""EURUSD"": -42.10000000000047, ""GBPUSD"": -40.40000000000043, ""USDJPY"": -27.299999999999613}"
candidate,BASKET,-1,2019-01-21T00:00:00+00:00,2019-01-23T00:00:00+00:00,65.66666666666606,64.16666666666606,62.66666666666606,rebalance,"{""EURUSD"": 14.999999999998348, ""GBPUSD"": 176.79999999999916, ""USDJPY"": 5.200000000000671}"
candidate,BASKET,1,2019-01-23T00:00:00+00:00,2019-01-24T00:00:00+00:00,28.199999999999704,26.699999999999704,25.199999999999704,flat_signal,"{""EURUSD"": 77.59999999999988, ""GBPUSD"": 4.199999999998649, ""USDJPY"": 2.80000000000058}"
candidate,BASKET,-1,2019-01-31T00:00:00+00:00,2019-02-01T00:00:00+00:00,-27.699999999999807,-29.199999999999807,-30.699999999999807,friday_flat,"{""EURUSD"": 6.800000000000139, ""GBPUSD"": -26.89999999999859, ""USDJPY"": -63.000000000000966}"
candidate,BASKET,-1,2019-02-13T00:00:00+00:00,2019-02-14T00:00:00+00:00,13.499999999998854,11.999999999998854,10.499999999998854,flat_signal,"{""EURUSD"": 34.399999999998876, ""GBPUSD"": -47.000000000001485, ""USDJPY"": 53.09999999999917}"
candidate,BASKET,-1,2019-03-12T00:00:00+00:00,2019-03-13T00:00:00+00:00,96.20000000000029,94.70000000000029,93.20000000000029,flat_signal,"{""EURUSD"": 42.40000000000021, ""GBPUSD"": 239.50000000000136, ""USDJPY"": 6.6999999999993065}"
candidate,BASKET,1,2019-03-21T00:00:00+00:00,2019-03-22T00:00:00+00:00,-36.14490862319248,-37.64490862319248,-39.14490862319248,stop,"{""EURUSD"": 72.09999999999938, ""GBPUSD"": -96.19999999999962, ""USDJPY"": -84.3347258695772}"
candidate,BASKET,1,2019-03-25T00:00:00+00:00,2019-03-26T00:00:00+00:00,31.966666666667365,30.466666666667365,28.966666666667365,flat_signal,"{""EURUSD"": 42.60000000000152, ""GBPUSD"": -10.499999999999954, ""USDJPY"": 63.80000000000052}"
candidate,BASKET,-1,2019-04-02T00:00:00+00:00,2019-04-03T00:00:00+00:00,12.966666666666349,11.466666666666349,9.966666666666349,flat_signal,"{""EURUSD"": 27.89999999999848, ""GBPUSD"": 28.099999999999792, ""USDJPY"": -17.099999999999227}"
candidate,BASKET,1,2019-04-10T00:00:00+00:00,2019-04-11T00:00:00+00:00,40.56666666666695,39.06666666666695,37.56666666666695,flat_signal,"{""EURUSD"": 21.700000000000053, ""GBPUSD"": 35.70000000000073, ""USDJPY"": 64.30000000000007}"
candidate,BASKET,-1,2019-04-15T00:00:00+00:00,2019-04-16T00:00:00+00:00,-23.600000000000602,-25.100000000000602,-26.600000000000602,flat_signal,"{""EURUSD"": -22.400000000000198, ""GBPUSD"": -51.1000000000017, ""USDJPY"": 2.7000000000001023}"
candidate,BASKET,-1,2019-04-24T00:00:00+00:00,2019-04-25T00:00:00+00:00,10.466666666666402,8.966666666666402,7.466666666666402,rebalance,"{""EURUSD"": -21.100000000000563, ""GBPUSD"": -3.8000000000004697, ""USDJPY"": 56.30000000000024}"
candidate,BASKET,1,2019-04-25T00:00:00+00:00,2019-04-26T00:00:00+00:00,-11.400000000000196,-12.900000000000196,-14.400000000000196,friday_flat,"{""EURUSD"": -10.700000000001264, ""GBPUSD"": -17.899999999999583, ""USDJPY"": -5.5999999999997385}"
candidate,BASKET,1,2019-05-02T00:00:00+00:00,2019-05-03T00:00:00+00:00,-65.21890172964436,-66.71890172964436,-68.21890172964436,stop,"{""EURUSD"": -31.200000000000117, ""GBPUSD"": -123.35670518893282, ""USDJPY"": -41.100000000000136}"
candidate,BASKET,-1,2019-05-06T00:00:00+00:00,2019-05-07T00:00:00+00:00,8.33333333333357,6.83333333333357,5.33333333333357,rebalance,"{""EURUSD"": -7.200000000000539, ""GBPUSD"": -20.499999999998852, ""USDJPY"": 52.7000000000001}"
candidate,BASKET,1,2019-05-07T00:00:00+00:00,2019-05-09T00:00:00+00:00,-0.9999999999999183,-2.4999999999999183,-3.9999999999999183,flat_signal,"{""EURUSD"": -22.200000000001108, ""GBPUSD"": 65.60000000000122, ""USDJPY"": -46.399999999999864}"
candidate,BASKET,1,2019-05-14T00:00:00+00:00,2019-05-15T00:00:00+00:00,20.99999999999955,19.49999999999955,17.99999999999955,rebalance,"{""EURUSD"": 2.7999999999983594, ""GBPUSD"": 61.40000000000034, ""USDJPY"": -1.2000000000000455}"
candidate,BASKET,-1,2019-05-15T00:00:00+00:00,2019-05-16T00:00:00+00:00,-32.600000000000435,-34.100000000000435,-35.600000000000435,flat_signal,"{""EURUSD"": -26.600000000001067, ""GBPUSD"": -46.39999999999977, ""USDJPY"": -24.800000000000466}"
candidate,BASKET,1,2019-05-20T00:00:00+00:00,2019-05-21T00:00:00+00:00,22.39999999999999,20.89999999999999,19.39999999999999,flat_signal,"{""EURUSD"": 5.20000000000076, ""GBPUSD"": 18.899999999999473, ""USDJPY"": 43.09999999999974}"
