symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,carry
EURUSD,-1,2023-07-27T00:00:00+00:00,2023-07-27T08:00:00+00:00,-52.9999999999986,-54.4999999999986,-55.9999999999986,candidate,-1.5599999999999996
EURUSD,-1,2023-07-28T00:00:00+00:00,2023-07-28T08:00:00+00:00,20.500000000001073,19.000000000001073,17.500000000001073,candidate,-1.8099999999999996
EURUSD,-1,2023-07-31T00:00:00+00:00,2023-07-31T08:00:00+00:00,-11.800000000001809,-13.300000000001809,-14.800000000001809,candidate,-1.83
EURUSD,-1,2023-08-01T00:00:00+00:00,2023-08-01T08:00:00+00:00,14.499999999999513,12.999999999999513,11.499999999999513,candidate,-1.8099999999999996
EURUSD,-1,2023-08-02T00:00:00+00:00,2023-08-02T08:00:00+00:00,11.799999999999589,10.299999999999589,8.799999999999589,candidate,-1.8099999999999996
EURUSD,-1,2023-08-03T00:00:00+00:00,2023-08-03T08:00:00+00:00,15.099999999999003,13.599999999999003,12.099999999999003,candidate,-1.5499999999999998
EURUSD,-1,2023-08-04T00:00:00+00:00,2023-08-04T08:00:00+00:00,15.000000000000568,13.500000000000568,12.000000000000568,candidate,-1.5499999999999998
EURUSD,-1,2023-08-07T00:00:00+00:00,2023-08-07T08:00:00+00:00,35.09999999999902,33.59999999999902,32.09999999999902,candidate,-1.58
EURUSD,-1,2023-08-08T00:00:00+00:00,2023-08-08T08:00:00+00:00,6.599999999998829,5.099999999998829,3.599999999998829,candidate,-1.5499999999999998
EURUSD,-1,2023-08-09T00:00:00+00:00,2023-08-09T08:00:00+00:00,-26.100000000000012,-27.600000000000012,-29.100000000000012,candidate,-1.5499999999999998
EURUSD,-1,2023-08-10T00:00:00+00:00,2023-08-10T08:00:00+00:00,-47.80000000000006,-49.30000000000006,-50.80000000000006,candidate,-1.5499999999999998
EURUSD,-1,2023-08-11T00:00:00+00:00,2023-08-11T08:00:00+00:00,-11.600000000000499,-13.100000000000499,-14.600000000000499,candidate,-1.5499999999999998
EURUSD,-1,2023-08-14T00:00:00+00:00,2023-08-14T08:00:00+00:00,-9.399999999999409,-10.899999999999409,-12.399999999999409,candidate,-1.58
EURUSD,-1,2023-08-15T00:00:00+00:00,2023-08-15T08:00:00+00:00,-20.900000000001473,-22.400000000001473,-23.900000000001473,candidate,-1.5499999999999998
EURUSD,-1,2023-08-16T00:00:00+00:00,2023-08-16T08:00:00+00:00,-25.500000000000522,-27.000000000000522,-28.500000000000522,candidate,-1.5499999999999998
EURUSD,-1,2023-08-17T00:00:00+00:00,2023-08-17T08:00:00+00:00,-3.5999999999991594,-5.099999999999159,-6.599999999999159,candidate,-1.5499999999999998
EURUSD,-1,2023-08-18T00:00:00+00:00,2023-08-18T08:00:00+00:00,22.500000000000853,21.000000000000853,19.500000000000853,candidate,-1.5499999999999998
EURUSD,-1,2023-08-21T00:00:00+00:00,2023-08-21T08:00:00+00:00,-6.200000000000649,-7.700000000000649,-9.20000000000065,candidate,-1.58
EURUSD,-1,2023-08-22T00:00:00+00:00,2023-08-22T08:00:00+00:00,-9.699999999999154,-11.199999999999154,-12.699999999999154,candidate,-1.5499999999999998
EURUSD,-1,2023-08-23T00:00:00+00:00,2023-08-23T08:00:00+00:00,27.800000000000047,26.300000000000047,24.800000000000047,candidate,-1.5499999999999998
EURUSD,-1,2023-08-24T00:00:00+00:00,2023-08-24T08:00:00+00:00,7.600000000000939,6.100000000000939,4.600000000000939,candidate,-1.5499999999999998
EURUSD,-1,2023-08-25T00:00:00+00:00,2023-08-25T08:00:00+00:00,7.599999999998719,6.099999999998719,4.599999999998719,candidate,-1.5499999999999998
EURUSD,-1,2023-08-28T00:00:00+00:00,2023-08-28T08:00:00+00:00,1.5999999999993797,0.0999999999993797,-1.4000000000006203,candidate,-1.58
EURUSD,-1,2023-08-29T00:00:00+00:00,2023-08-29T08:00:00+00:00,13.000000000000789,11.500000000000789,10.000000000000789,candidate,-1.5499999999999998
EURUSD,-1,2023-08-30T00:00:00+00:00,2023-08-30T08:00:00+00:00,2.500000000000835,1.0000000000008349,-0.4999999999991651,candidate,-1.5499999999999998
EURUSD,-1,2023-08-31T00:00:00+00:00,2023-08-31T08:00:00+00:00,55.19999999999969,53.69999999999969,52.19999999999969,candidate,-1.5499999999999998
EURUSD,-1,2023-09-01T00:00:00+00:00,2023-09-01T08:00:00+00:00,-10.799999999999699,-12.299999999999699,-13.799999999999699,candidate,-1.5599999999999996
EURUSD,-1,2023-09-04T00:00:00+00:00,2023-09-04T08:00:00+00:00,-19.100000000000783,-20.600000000000783,-22.100000000000783,candidate,-1.58
EURUSD,-1,2023-09-05T00:00:00+00:00,2023-09-05T08:00:00+00:00,44.50000000000065,43.00000000000065,41.50000000000065,candidate,-1.58
EURUSD,-1,2023-09-06T00:00:00+00:00,2023-09-06T08:00:00+00:00,-14.899999999999913,-16.399999999999913,-17.899999999999913,candidate,-1.5599999999999996
EURUSD,-1,2023-09-07T00:00:00+00:00,2023-09-07T08:00:00+00:00,11.699999999998933,10.199999999998933,8.699999999998933,candidate,-1.5499999999999998
EURUSD,-1,2023-09-08T00:00:00+00:00,2023-09-08T08:00:00+00:00,2.2999999999995246,0.7999999999995246,-0.7000000000004754,candidate,-1.5599999999999996
EURUSD,-1,2023-09-11T00:00:00+00:00,2023-09-11T08:00:00+00:00,-15.299999999998093,-16.799999999998093,-18.299999999998093,candidate,-1.58
EURUSD,-1,2023-09-12T00:00:00+00:00,2023-09-12T08:00:00+00:00,29.29999999999877,27.79999999999877,26.29999999999877,candidate,-1.5499999999999998
EURUSD,-1,2023-09-13T00:00:00+00:00,2023-09-13T08:00:00+00:00,23.800000000000487,22.300000000000487,20.800000000000487,candidate,-1.5499999999999998
EURUSD,-1,2023-09-14T00:00:00+00:00,2023-09-14T08:00:00+00:00,5.60000000000116,4.10000000000116,2.6000000000011596,candidate,-1.5499999999999998
EURUSD,-1,2023-09-15T00:00:00+00:00,2023-09-15T08:00:00+00:00,-23.500000000000743,-25.000000000000743,-26.500000000000743,candidate,-1.5499999999999998
EURUSD,-1,2023-09-18T00:00:00+00:00,2023-09-18T08:00:00+00:00,7.500000000000284,6.000000000000284,4.500000000000284,candidate,-1.58
EURUSD,-1,2023-09-19T00:00:00+00:00,2023-09-19T08:00:00+00:00,1.9999999999997797,0.49999999999977973,-1.0000000000002203,candidate,-1.5599999999999996
EURUSD,-1,2023-09-20T00:00:00+00:00,2023-09-20T08:00:00+00:00,-11.499999999999844,-12.999999999999844,-14.499999999999844,candidate,-1.5599999999999996
EURUSD,-1,2023-09-21T00:00:00+00:00,2023-09-21T08:00:00+00:00,-24.600000000001288,-26.100000000001288,-27.600000000001288,candidate,-1.2999999999999998
EURUSD,-1,2023-09-22T00:00:00+00:00,2023-09-22T08:00:00+00:00,11.099999999999444,9.599999999999444,8.099999999999444,candidate,-1.2999999999999998
EURUSD,-1,2023-09-25T00:00:00+00:00,2023-09-25T08:00:00+00:00,28.799999999999937,27.299999999999937,25.799999999999937,candidate,-1.33
EURUSD,-1,2023-09-26T00:00:00+00:00,2023-09-26T08:00:00+00:00,-11.700000000001154,-13.200000000001154,-14.700000000001154,candidate,-1.3099999999999996
EURUSD,-1,2023-09-27T00:00:00+00:00,2023-09-27T08:00:00+00:00,-0.1999999999990898,-1.6999999999990898,-3.19999999999909,candidate,-1.3099999999999996
EURUSD,-1,2023-09-28T00:00:00+00:00,2023-09-28T08:00:00+00:00,-1.7000000000000348,-3.200000000000035,-4.700000000000035,candidate,-1.3200000000000003
EURUSD,-1,2023-09-29T00:00:00+00:00,2023-09-29T08:00:00+00:00,-45.50000000000054,-47.00000000000054,-48.50000000000054,candidate,-1.3099999999999996
EURUSD,-1,2023-10-02T00:00:00+00:00,2023-10-02T08:00:00+00:00,2.100000000000435,0.6000000000004349,-0.8999999999995651,candidate,-1.33
EURUSD,-1,2023-10-03T00:00:00+00:00,2023-10-03T08:00:00+00:00,-12.900000000000134,-14.400000000000134,-15.900000000000134,candidate,-1.3200000000000003
EURUSD,-1,2023-10-04T00:00:00+00:00,2023-10-04T08:00:00+00:00,-14.700000000000824,-16.200000000000824,-17.700000000000824,candidate,-1.33
EURUSD,-1,2023-10-05T00:00:00+00:00,2023-10-05T08:00:00+00:00,15.899999999999803,14.399999999999803,12.899999999999803,candidate,-1.3200000000000003
EURUSD,-1,2023-10-06T00:00:00+00:00,2023-10-06T08:00:00+00:00,-6.599999999998829,-8.099999999998829,-9.599999999998829,candidate,-1.3200000000000003
EURUSD,-1,2023-10-09T00:00:00+00:00,2023-10-09T08:00:00+00:00,31.799999999999606,30.299999999999606,28.799999999999606,candidate,-1.33
EURUSD,-1,2023-10-10T00:00:00+00:00,2023-10-10T08:00:00+00:00,-31.799999999999606,-33.299999999999606,-34.799999999999606,candidate,-1.33
EURUSD,-1,2023-10-11T00:00:00+00:00,2023-10-11T08:00:00+00:00,1.9999999999997797,0.49999999999977973,-1.0000000000002203,candidate,-1.3099999999999996
EURUSD,-1,2023-10-12T00:00:00+00:00,2023-10-12T08:00:00+00:00,-4.100000000000215,-5.600000000000215,-7.100000000000215,candidate,-1.3099999999999996
EURUSD,-1,2023-10-13T00:00:00+00:00,2023-10-13T08:00:00+00:00,-15.000000000000568,-16.50000000000057,-18.00000000000057,candidate,-1.3099999999999996
EURUSD,-1,2023-10-16T00:00:00+00:00,2023-10-16T08:00:00+00:00,-23.299999999999432,-24.799999999999432,-26.299999999999432,candidate,-1.33
EURUSD,-1,2023-10-17T00:00:00+00:00,2023-10-17T08:00:00+00:00,19.799999999998708,18.299999999998708,16.799999999998708,candidate,-1.3099999999999996
EURUSD,-1,2023-10-18T00:00:00+00:00,2023-10-18T08:00:00+00:00,-18.599999999999728,-20.099999999999728,-21.599999999999728,candidate,-1.3099999999999996
EURUSD,-1,2023-10-19T00:00:00+00:00,2023-10-19T08:00:00+00:00,3.20000000000098,1.7000000000009798,0.20000000000097984,candidate,-1.2999999999999998
EURUSD,-1,2023-10-20T00:00:00+00:00,2023-10-20T08:00:00+00:00,-11.799999999999589,-13.299999999999589,-14.799999999999589,candidate,-1.2999999999999998
EURUSD,-1,2023-10-23T00:00:00+00:00,2023-10-23T08:00:00+00:00,-15.600000000000058,-17.10000000000006,-18.60000000000006,candidate,-1.33
EURUSD,-1,2023-10-24T00:00:00+00:00,2023-10-24T08:00:00+00:00,21.999999999999797,20.499999999999797,18.999999999999797,candidate,-1.2999999999999998
EURUSD,-1,2023-10-25T00:00:00+00:00,2023-10-25T08:00:00+00:00,7.299999999998974,5.799999999998974,4.299999999998974,candidate,-1.2999999999999998
EURUSD,-1,2023-10-26T00:00:00+00:00,2023-10-26T08:00:00+00:00,14.300000000000423,12.800000000000423,11.300000000000423,candidate,-1.2999999999999998
EURUSD,-1,2023-10-27T00:00:00+00:00,2023-10-27T08:00:00+00:00,-4.199999999998649,-5.699999999998649,-7.199999999998649,candidate,-1.3099999999999996
EURUSD,-1,2023-10-30T00:00:00+00:00,2023-10-30T08:00:00+00:00,-18.700000000000383,-20.200000000000383,-21.700000000000383,candidate,-1.33
