symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi,exit_reason
EURUSD,-1,2022-04-18,2022-04-21,-132.13928571428556,-133.63928571428556,-135.13928571428556,control,0.0719003501928277,stop
GBPUSD,1,2022-04-18,2022-04-22,-121.52142857142722,-123.02142857142722,-124.52142857142722,control,-0.049392245441840815,stop
USDJPY,1,2022-04-18,2022-04-22,222.50000000000085,221.00000000000085,219.50000000000085,control,-0.03655619531953562,friday_flat
GBPUSD,-1,2022-04-25,2022-04-29,256.7000000000008,255.20000000000078,253.70000000000078,control,-0.016996020502626948,friday_flat
EURUSD,-1,2022-05-02,2022-05-06,-1.7999999999984695,-3.2999999999984695,-4.7999999999984695,control,0.03843974722161691,friday_flat
GBPUSD,-1,2022-05-02,2022-05-06,242.2000000000013,240.7000000000013,239.2000000000013,control,-0.07525147365025367,friday_flat
USDJPY,1,2022-05-02,2022-05-06,82.69999999999982,81.19999999999982,79.69999999999982,control,0.05789617428937583,friday_flat
EURUSD,1,2022-05-09,2022-05-12,-154.39285714285765,-155.89285714285765,-157.39285714285765,control,0.02430821626223925,stop
USDJPY,-1,2022-05-09,2022-05-13,123.40000000000089,121.90000000000089,120.40000000000089,control,-0.029386255803275342,friday_flat
EURUSD,-1,2022-05-16,2022-05-17,-157.4464285714283,-158.9464285714283,-160.4464285714283,control,0.015504842665336492,stop
EURUSD,1,2022-05-23,2022-05-27,170.80000000000206,169.30000000000206,167.80000000000206,control,0.039795338260375214,friday_flat
USDJPY,-1,2022-05-23,2022-05-27,72.89999999999992,71.39999999999992,69.89999999999992,control,0.01927826677938568,friday_flat
EURUSD,1,2022-05-30,2022-06-03,-16.100000000001113,-17.600000000001113,-19.100000000001113,control,0.42932496278558024,friday_flat
USDJPY,-1,2022-05-30,2022-05-31,-183.19285714285627,-184.69285714285627,-186.19285714285627,control,0.03685470546582594,stop
EURUSD,1,2022-06-06,2022-06-10,-144.84642857142794,-146.34642857142794,-147.84642857142794,control,-0.6397545078262524,stop
GBPUSD,-1,2022-06-06,2022-06-10,176.60000000000008,175.10000000000008,173.60000000000008,control,0.05062064765640756,friday_flat
EURUSD,-1,2022-06-13,2022-06-17,17.499999999999183,15.999999999999183,14.499999999999183,control,-0.03078666968941283,friday_flat
USDJPY,1,2022-06-13,2022-06-16,-186.0857142857128,-187.5857142857128,-189.0857142857128,control,-0.03323385478136018,stop
GBPUSD,-1,2022-06-20,2022-06-24,-61.79999999999852,-63.29999999999852,-64.79999999999852,control,-0.03288827720479016,friday_flat
USDJPY,-1,2022-06-20,2022-06-24,-28.79999999999825,-30.29999999999825,-31.79999999999825,control,0.030664952067196244,friday_flat
EURUSD,-1,2022-06-27,2022-07-01,119.49999999999905,117.99999999999905,116.49999999999905,control,0.35117344018317115,friday_flat
GBPUSD,-1,2022-06-27,2022-07-01,156.19999999999968,154.69999999999968,153.19999999999968,control,0.05918971725968826,friday_flat
USDJPY,1,2022-06-27,2022-07-01,-3.3999999999991815,-4.8999999999991815,-6.3999999999991815,control,0.09237146682807829,friday_flat
EURUSD,-1,2022-07-04,2022-07-08,231.50000000000003,230.00000000000003,228.50000000000003,control,0.34031137303192893,friday_flat
GBPUSD,-1,2022-07-04,2022-07-08,63.69999999999987,62.19999999999987,60.69999999999987,control,0.04457103385562395,friday_flat
USDJPY,1,2022-07-04,2022-07-08,81.00000000000023,79.50000000000023,78.00000000000023,control,0.03263366188420102,friday_flat
EURUSD,-1,2022-07-11,2022-07-15,84.20000000000094,82.70000000000094,81.20000000000094,control,-0.48927928419444594,friday_flat
GBPUSD,-1,2022-07-11,2022-07-15,135.6999999999986,134.1999999999986,132.6999999999986,control,-0.0312585607198891,friday_flat
