symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,1,2022-03-02,2022-05-25,1177.600000000001,1176.100000000001,1174.600000000001,control
GBPUSD,-1,2022-05-03,2022-05-26,-104.40000000000005,-105.90000000000005,-107.40000000000005,control
EURUSD,1,2022-05-25,2022-06-02,67.29999999999903,65.79999999999903,64.29999999999903,control
USDJPY,-1,2022-05-26,2022-06-02,-273.90000000000043,-275.40000000000043,-276.90000000000043,control
USDJPY,1,2022-06-02,2022-06-03,97.59999999999991,96.09999999999991,94.59999999999991,control
GBPUSD,-1,2022-06-02,2022-06-03,90.79999999999977,89.29999999999977,87.79999999999977,control
EURUSD,1,2022-06-03,2022-06-07,-11.600000000000499,-13.100000000000499,-14.600000000000499,control
USDJPY,-1,2022-06-03,2022-06-09,-354.3999999999983,-355.8999999999983,-357.3999999999983,control
GBPUSD,1,2022-06-07,2022-06-09,-99.0000000000002,-100.5000000000002,-102.0000000000002,control
EURUSD,-1,2022-06-09,2022-06-13,208.30000000000126,206.80000000000126,205.30000000000126,control
GBPUSD,-1,2022-06-13,2022-07-07,111.99999999999876,110.49999999999876,108.99999999999876,control
USDJPY,1,2022-06-09,2022-07-28,-9.799999999998477,-11.299999999998477,-12.799999999998477,control
EURUSD,-1,2022-07-07,2022-08-02,-6.800000000000139,-8.30000000000014,-9.80000000000014,control
GBPUSD,1,2022-07-28,2022-08-10,36.000000000000476,34.500000000000476,33.000000000000476,control
EURUSD,1,2022-08-10,2022-08-11,20.600000000001728,19.100000000001728,17.600000000001728,control
USDJPY,-1,2022-08-02,2022-08-19,-371.6000000000008,-373.1000000000008,-374.6000000000008,control
GBPUSD,1,2022-08-11,2022-08-22,-436.90000000000225,-438.40000000000225,-439.90000000000225,control
EURUSD,-1,2022-08-19,2022-08-24,73.10000000000038,71.60000000000038,70.10000000000038,control
GBPUSD,-1,2022-08-24,2022-10-14,618.3000000000005,616.8000000000005,615.3000000000005,control
USDJPY,1,2022-08-22,2022-10-24,1150.7000000000005,1149.2000000000005,1147.7000000000005,control
EURUSD,-1,2022-10-14,2022-10-26,-359.1999999999995,-360.6999999999995,-362.1999999999995,control
USDJPY,-1,2022-10-26,2022-10-31,-236.40000000000043,-237.90000000000043,-239.40000000000043,control
GBPUSD,1,2022-10-24,2022-11-01,211.40000000000157,209.90000000000157,208.40000000000157,control
EURUSD,-1,2022-10-31,2022-11-07,-139.00000000000023,-140.50000000000023,-142.00000000000023,control
USDJPY,1,2022-11-01,2022-11-07,-167.09999999999923,-168.59999999999923,-170.09999999999923,control
GBPUSD,1,2022-11-07,2022-11-10,200.50000000000122,199.00000000000122,197.50000000000122,control
EURUSD,1,2022-11-10,2022-11-21,31.30000000000077,29.80000000000077,28.30000000000077,control
GBPUSD,1,2022-11-21,2022-11-28,132.10000000000164,130.60000000000164,129.10000000000164,control
EURUSD,1,2022-11-28,2022-12-02,202.60000000000167,201.10000000000167,199.60000000000167,control
GBPUSD,1,2022-12-02,2022-12-19,-144.69999999999982,-146.19999999999982,-147.69999999999982,control
USDJPY,-1,2022-11-07,2023-01-06,1441.7,1440.2,1438.7,control
GBPUSD,-1,2023-01-06,2023-01-09,-89.10000000000196,-90.60000000000196,-92.10000000000196,control
USDJPY,-1,2023-01-09,2023-01-12,262.5,261.0,259.5,control
GBPUSD,-1,2023-01-12,2023-01-13,-27.200000000000557,-28.700000000000557,-30.200000000000557,control
EURUSD,1,2022-12-19,2023-01-19,222.99999999999986,221.49999999999986,219.99999999999986,control
GBPUSD,1,2023-01-19,2023-02-01,-14.899999999999913,-16.399999999999913,-17.899999999999913,control
USDJPY,-1,2023-01-13,2023-02-07,-317.9000000000002,-319.4000000000002,-320.9000000000002,control
EURUSD,1,2023-02-01,2023-02-07,-261.89999999999935,-263.39999999999935,-264.89999999999935,control
USDJPY,1,2023-02-07,2023-02-08,34.39999999999941,32.89999999999941,31.39999999999941,control
GBPUSD,-1,2023-02-07,2023-02-08,-22.899999999999032,-24.399999999999032,-25.899999999999032,control
EURUSD,1,2023-02-08,2023-02-10,-34.70000000000084,-36.20000000000084,-37.70000000000084,control
USDJPY,-1,2023-02-08,2023-02-10,0.699999999997658,-0.800000000002342,-2.300000000002342,control
EURUSD,-1,2023-02-10,2023-02-13,-46.10000000000003,-47.60000000000003,-49.10000000000003,control
GBPUSD,-1,2023-02-13,2023-02-14,-34.79999999999927,-36.29999999999927,-37.79999999999927,control
