symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi
GBPUSD,-1,2024-08-16,2024-08-21,-127.84285714285691,-129.34285714285693,-130.84285714285693,candidate,0.06518979028939188
GBPUSD,1,2024-08-23,2024-08-30,-88.70000000000155,-90.20000000000155,-91.70000000000155,candidate,0.1258605861277622
GBPUSD,1,2024-08-30,2024-09-06,2.4000000000001798,0.9000000000001798,-0.5999999999998202,candidate,0.1263971701037507
GBPUSD,1,2024-09-06,2024-09-11,-121.31785714285748,-122.81785714285748,-124.31785714285748,candidate,0.07005860695506566
GBPUSD,-1,2024-09-13,2024-09-18,-116.14285714285576,-117.64285714285576,-119.14285714285576,candidate,0.0637337700487633
GBPUSD,-1,2024-09-20,2024-09-27,-52.799999999999514,-54.299999999999514,-55.799999999999514,candidate,0.12427855782120935
GBPUSD,1,2024-09-27,2024-10-03,-146.94642857142836,-148.44642857142836,-149.94642857142836,candidate,0.10987080801618178
GBPUSD,-1,2024-10-18,2024-10-25,87.09999999999995,85.59999999999995,84.09999999999995,candidate,0.03751349190485709
GBPUSD,-1,2024-10-25,2024-11-01,45.80000000000028,44.30000000000028,42.80000000000028,candidate,0.08624255855386086
GBPUSD,-1,2024-11-01,2024-11-05,-121.06071428571451,-122.56071428571451,-124.06071428571451,candidate,0.04842575665244769
GBPUSD,-1,2024-11-08,2024-11-15,299.2000000000017,297.7000000000017,296.2000000000017,candidate,0.0503963940197492
GBPUSD,1,2024-11-15,2024-11-22,-89.09999999999751,-90.59999999999751,-92.09999999999751,candidate,0.016265982245873462
GBPUSD,-1,2024-11-22,2024-11-27,-159.41785714285837,-160.91785714285837,-162.41785714285837,candidate,0.10247356221932494
GBPUSD,-1,2024-11-29,2024-12-06,-7.299999999998974,-8.799999999998974,-10.299999999998974,candidate,0.07969062418954079
GBPUSD,1,2024-12-13,2024-12-20,-128.5071428571438,-130.0071428571438,-131.5071428571438,candidate,0.04556259523618574
GBPUSD,-1,2024-12-27,2025-01-03,154.09999999999923,152.59999999999923,151.09999999999923,candidate,0.028960411768443797
GBPUSD,1,2025-01-03,2025-01-09,-142.40357142857096,-143.90357142857096,-145.40357142857096,candidate,0.016687932485877202
GBPUSD,-1,2025-01-10,2025-01-17,39.00000000000014,37.50000000000014,36.00000000000014,candidate,0.02622768448376331
GBPUSD,-1,2025-01-17,2025-01-20,-175.49999999999955,-176.99999999999955,-178.49999999999955,candidate,0.04773286327467559
GBPUSD,-1,2025-01-24,2025-01-31,86.69999999999955,85.19999999999955,83.69999999999955,candidate,0.05138042578800873
GBPUSD,-1,2025-01-31,2025-02-05,-156.25714285714352,-157.75714285714352,-159.25714285714352,candidate,0.08896098558657003
GBPUSD,1,2025-02-07,2025-02-14,184.5999999999992,183.0999999999992,181.5999999999992,candidate,0.03667344266140224
GBPUSD,1,2025-02-14,2025-02-21,48.30000000000112,46.80000000000112,45.30000000000112,candidate,0.027549029970500342
GBPUSD,1,2025-02-21,2025-02-28,-57.49999999999922,-58.99999999999922,-60.49999999999922,candidate,0.07263116487190835
GBPUSD,1,2025-02-28,2025-03-07,344.09999999999826,342.59999999999826,341.09999999999826,candidate,0.03213480455733583
GBPUSD,1,2025-03-07,2025-03-14,15.000000000000568,13.500000000000568,12.000000000000568,candidate,0.021636412572146296
GBPUSD,1,2025-03-14,2025-03-21,-18.000000000000238,-19.500000000000238,-21.000000000000238,candidate,0.05381212845683559
GBPUSD,1,2025-03-21,2025-03-28,20.700000000000163,19.200000000000163,17.700000000000163,candidate,0.09039432429592847
GBPUSD,1,2025-03-28,2025-04-04,-38.89999999999949,-40.39999999999949,-41.89999999999949,candidate,0.08622889776792252
GBPUSD,-1,2025-04-11,2025-04-16,-206.08928571428598,-207.58928571428598,-209.08928571428598,candidate,0.04386411169521225
GBPUSD,-1,2025-04-18,2025-04-25,-17.100000000001003,-18.600000000001003,-20.100000000001003,candidate,0.05150672858547168
GBPUSD,1,2025-04-25,2025-05-02,-41.70000000000007,-43.20000000000007,-44.70000000000007,candidate,0.04565175016011807
GBPUSD,1,2025-05-30,2025-06-06,74.9999999999984,73.4999999999984,71.9999999999984,candidate,0.05565791418296468
GBPUSD,1,2025-06-13,2025-06-17,-129.97499999999994,-131.47499999999994,-132.97499999999994,candidate,0.023660839487706833
GBPUSD,-1,2025-06-20,2025-06-24,-136.6178571428578,-138.1178571428578,-139.6178571428578,candidate,0.09843186876504016
GBPUSD,-1,2025-07-04,2025-07-11,147.49999999999818,145.99999999999818,144.49999999999818,candidate,0.02735718563350275
GBPUSD,-1,2025-07-18,2025-07-23,-134.09999999999923,-135.59999999999923,-137.09999999999923,candidate,0.01672940862368175
GBPUSD,-1,2025-07-25,2025-08-01,158.00000000000034,156.50000000000034,155.00000000000034,candidate,0.1386320964664112
GBPUSD,-1,2025-08-01,2025-08-07,-143.56071428571536,-145.06071428571536,-146.56071428571536,candidate,0.0536802659239269
GBPUSD,-1,2025-08-08,2025-08-14,-137.0249999999995,-138.5249999999995,-140.0249999999995,candidate,0.12343033347232053
GBPUSD,-1,2025-08-29,2025-09-05,-6.500000000000394,-8.000000000000394,-9.500000000000394,candidate,0.02908970196356625
GBPUSD,-1,2025-09-05,2025-09-12,-47.900000000000716,-49.400000000000716,-50.900000000000716,candidate,0.03809889726502294
GBPUSD,1,2025-09-12,2025-09-19,-84.20000000000094,-85.70000000000094,-87.20000000000094,candidate,0.019694684386411008
GBPUSD,1,2025-09-19,2025-09-26,-68.60000000000088,-70.10000000000088,-71.60000000000088,candidate,0.1363018108480329
GBPUSD,1,2025-09-26,2025-10-03,77.70000000000054,76.20000000000054,74.70000000000054,candidate,0.017747012857792302
