symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,1,2022-03-18,2022-07-28,1510.3000000000009,1508.8000000000009,1507.3000000000009,control
EURUSD,-1,2022-07-12,2022-08-05,-141.10000000000068,-142.60000000000068,-144.10000000000068,control
GBPUSD,1,2022-07-28,2022-08-22,-412.4000000000016,-413.9000000000016,-415.4000000000016,control
USDJPY,-1,2022-08-05,2022-08-22,-249.7000000000014,-251.2000000000014,-252.7000000000014,control
EURUSD,-1,2022-08-22,2022-08-29,-54.20000000000091,-55.70000000000091,-57.20000000000091,control
USDJPY,1,2022-08-22,2022-10-24,1150.7000000000005,1149.2000000000005,1147.7000000000005,control
GBPUSD,-1,2022-08-29,2022-10-24,432.300000000001,430.800000000001,429.300000000001,control
GBPUSD,1,2022-10-24,2022-11-03,-117.00000000000043,-118.50000000000043,-120.00000000000043,control
EURUSD,-1,2022-10-24,2022-11-08,-199.20000000000047,-200.70000000000047,-202.20000000000047,control
USDJPY,1,2022-11-03,2022-11-08,-253.20000000000107,-254.70000000000107,-256.20000000000107,control
GBPUSD,1,2022-11-08,2022-11-14,214.40000000000126,212.90000000000126,211.40000000000126,control
EURUSD,1,2022-11-14,2022-12-16,263.10000000000053,261.60000000000053,260.10000000000053,control
GBPUSD,1,2022-12-16,2022-12-22,-115.3000000000004,-116.8000000000004,-118.3000000000004,control
EURUSD,1,2022-12-22,2023-03-24,162.9999999999998,161.4999999999998,159.9999999999998,control
USDJPY,-1,2022-11-08,2023-05-05,1083.5000000000007,1082.0000000000007,1080.5000000000007,control
GBPUSD,1,2023-03-24,2023-05-05,400.3000000000023,398.8000000000023,397.3000000000023,control
USDJPY,1,2023-05-05,2023-05-11,-27.09999999999866,-28.59999999999866,-30.09999999999866,control
GBPUSD,1,2023-05-11,2023-05-12,-64.80000000000041,-66.30000000000041,-67.80000000000041,control
EURUSD,-1,2023-05-05,2023-06-22,63.10000000000038,61.60000000000038,60.10000000000038,control
USDJPY,1,2023-05-12,2023-06-22,738.5999999999996,737.0999999999996,735.5999999999996,control
USDJPY,-1,2023-06-22,2023-06-23,-58.69999999999891,-60.19999999999891,-61.69999999999891,control
EURUSD,-1,2023-06-23,2023-07-28,-124.2999999999994,-125.7999999999994,-127.2999999999994,control
GBPUSD,1,2023-06-22,2023-08-03,-38.40000000000065,-39.90000000000065,-41.40000000000065,control
USDJPY,-1,2023-07-28,2023-09-21,-639.9000000000001,-641.4000000000001,-642.9000000000001,control
EURUSD,1,2023-08-03,2023-09-21,-287.59999999999894,-289.09999999999894,-290.59999999999894,control
USDJPY,1,2023-09-21,2024-01-02,-558.6999999999989,-560.1999999999989,-561.6999999999989,control
GBPUSD,-1,2023-09-21,2024-01-02,-322.5000000000011,-324.0000000000011,-325.5000000000011,control
EURUSD,1,2024-01-02,2024-03-25,-105.20000000000084,-106.70000000000084,-108.20000000000084,control
USDJPY,-1,2024-01-02,2024-03-25,-942.9000000000002,-944.4000000000002,-945.9000000000002,control
GBPUSD,-1,2024-03-25,2024-06-13,-126.1000000000001,-127.6000000000001,-129.10000000000008,control
USDJPY,1,2024-03-25,2024-08-02,-491.3999999999987,-492.8999999999987,-494.3999999999987,control
EURUSD,-1,2024-06-13,2024-08-02,-173.90000000000015,-175.40000000000015,-176.90000000000015,control
GBPUSD,1,2024-08-02,2024-08-05,-30.399999999999316,-31.899999999999316,-33.39999999999932,control
EURUSD,1,2024-08-05,2024-09-19,210.0999999999997,208.5999999999997,207.0999999999997,control
USDJPY,-1,2024-08-02,2024-10-03,-41.19999999999777,-42.69999999999777,-44.19999999999777,control
GBPUSD,1,2024-09-19,2024-10-03,-160.60000000000184,-162.10000000000184,-163.60000000000184,control
EURUSD,-1,2024-10-03,2024-11-01,197.6,196.1,194.6,control
GBPUSD,-1,2024-11-01,2024-11-08,-2.100000000000435,-3.600000000000435,-5.100000000000435,control
USDJPY,1,2024-10-03,2024-12-17,648.3000000000004,646.8000000000004,645.3000000000004,control
GBPUSD,1,2024-12-17,2024-12-19,-205.8000000000004,-207.3000000000004,-208.8000000000004,control
EURUSD,-1,2024-11-08,2024-12-27,295.0999999999992,293.5999999999992,292.0999999999992,control
GBPUSD,-1,2024-12-27,2024-12-30,33.799999999999386,32.299999999999386,30.799999999999386,control
EURUSD,-1,2024-12-30,2025-01-03,95.19999999999972,93.69999999999972,92.19999999999972,control
USDJPY,1,2024-12-19,2025-01-29,-213.3999999999986,-214.8999999999986,-216.3999999999986,control
GBPUSD,-1,2025-01-03,2025-01-29,-25.699999999999612,-27.199999999999612,-28.699999999999612,control
EURUSD,1,2025-01-29,2025-02-06,-38.399999999998435,-39.899999999998435,-41.399999999998435,control
GBPUSD,1,2025-02-06,2025-03-13,515.5999999999982,514.0999999999982,512.5999999999982,control
