hypothesis_id,direction,sweep_index,reclaim_index,retest_index,entry_index,sweep_time_utc,reclaim_time_utc,retest_time_utc,entry_time_utc,pivot_price,pivot_index,entry_price,initial_stop,initial_risk_pips,sweep_atr_pips,sweep_tick_volume,prior20_tick_volume_mean,tick_volume_ratio,reclaim_adx,retest_outside_session,entry_outside_session,calendar_year,cost_r_0_5,cost_r_1_5,cost_r_2_25,cost_r_3_0
HYP-ASRS-EURUSD-M5-001,LONG,204601,204602,204603,204604,2021-10-01 13:35:00,2021-10-01 13:40:00,2021-10-01 13:45:00,2021-10-01 13:50:00,1.15989,204596,1.16006,1.1593662142857144,6.937857142856885,4.79285714285698,647.0,421.9,1.5335387532590663,16.454380370533393,False,False,2021,0.07206836198908947,0.21620508596726842,0.32430762895090265,0.43241017193453685
HYP-ASRS-EURUSD-M5-001,LONG,206822,206822,206823,206824,2021-10-13 07:05:00,2021-10-13 07:05:00,2021-10-13 07:10:00,2021-10-13 07:15:00,1.15469,206815,1.1548,1.1544775,3.2250000000000334,2.7500000000000933,396.0,235.1,1.6843896214376861,22.17053553443951,False,False,2021,0.15503875968992087,0.4651162790697626,0.697674418604644,0.9302325581395252
HYP-ASRS-EURUSD-M5-001,SHORT,210712,210712,210713,210714,2021-11-01 20:50:00,2021-11-01 20:50:00,2021-11-01 20:55:00,2021-11-01 21:00:00,1.1607,210706,1.16058,1.1609559285714286,3.75928571428652,1.8642857142860323,117.0,77.4,1.511627906976744,19.223650187059153,False,True,2021,0.1330039901196751,0.39901197035902525,0.5985179555385379,0.7980239407180505
HYP-ASRS-EURUSD-M5-001,LONG,212627,212628,212629,212630,2021-11-10 13:35:00,2021-11-10 13:40:00,2021-11-10 13:45:00,2021-11-10 13:50:00,1.15451,212614,1.1556,1.1538255714285715,17.744285714285102,5.81428571428574,930.0,335.05,2.775705118639009,24.073973516571847,False,False,2021,0.028178085500363263,0.08453425650108978,0.1268013847516347,0.16906851300217957
HYP-ASRS-EURUSD-M5-001,LONG,212628,212628,212629,212630,2021-11-10 13:40:00,2021-11-10 13:40:00,2021-11-10 13:45:00,2021-11-10 13:50:00,1.15451,212614,1.1556,1.1538920714285714,17.079285714285408,6.264285714285674,890.0,360.95,2.46571547305721,24.073973516571847,False,False,2021,0.029275228974112857,0.08782568692233858,0.13173853038350786,0.17565137384467716
HYP-ASRS-EURUSD-M5-001,SHORT,212943,212944,212945,212946,2021-11-11 15:55:00,2021-11-11 16:00:00,2021-11-11 16:05:00,2021-11-11 16:10:00,1.14692,212934,1.14683,1.1476475714285714,8.175714285714175,5.5857142857144,417.0,275.4,1.514161220043573,21.994055313977228,False,False,2021,0.061156735977634935,0.1834702079329048,0.2752053118993572,0.3669404158658096
HYP-ASRS-EURUSD-M5-001,SHORT,215711,215712,215713,215714,2021-11-25 07:00:00,2021-11-25 07:05:00,2021-11-25 07:10:00,2021-11-25 07:15:00,1.1216,215706,1.12152,1.1219127857142857,3.9278571428558173,2.092857142857055,232.0,77.5,2.9935483870967743,13.387726316241295,False,False,2021,0.127295871976766,0.381887615930298,0.572831423895447,0.763775231860596
HYP-ASRS-EURUSD-M5-001,SHORT,215712,215712,215713,215714,2021-11-25 07:05:00,2021-11-25 07:05:00,2021-11-25 07:10:00,2021-11-25 07:15:00,1.1216,215706,1.12152,1.121912357142857,3.9235714285701384,2.0785714285714056,206.0,87.25,2.361031518624642,13.387726316241295,False,False,2021,0.12743491716734576,0.38230475150203724,0.5734571272530559,0.7646095030040745
HYP-ASRS-EURUSD-M5-001,SHORT,215713,215713,215714,215715,2021-11-25 07:10:00,2021-11-25 07:10:00,2021-11-25 07:15:00,2021-11-25 07:20:00,1.1216,215706,1.12147,1.1218025714285713,3.325714285713488,2.0857142857141513,144.0,94.8,1.518987341772152,12.016634304480883,False,False,2021,0.1503436426117199,0.45103092783515975,0.6765463917527396,0.9020618556703195
HYP-ASRS-EURUSD-M5-001,LONG,216086,216086,216087,216088,2021-11-26 14:30:00,2021-11-26 14:30:00,2021-11-26 14:35:00,2021-11-26 14:40:00,1.12858,216081,1.12946,1.1282020714285714,12.579285714284794,6.264285714285833,826.0,525.85,1.5707901492821146,17.57797141655935,False,False,2021,0.03974788484470224,0.11924365453410674,0.1788654818011601,0.23848730906821347
