strategy,symbol,signal_ms,entry_ms,exit_ms,direction,signal_score,entry_price,exit_price,stop_price,target_price,initial_stop_pips,exit_reason,gross_pips,net_pips_a,net_pips_b,net_r_a,net_r_b
PRIMARY,GBPUSD,1628714700000,1628715600000,1628715600000,-1,-5.42071912276234,1.3877,1.387365,1.3878675,1.387365,1.6749999999998713,target,3.349999999999742,2.5499999999997423,2.149999999999742,1.5223880597014556,1.2835820895521834
PRIMARY,GBPUSD,1628716500000,1628717400000,1628718300000,-1,-7.637595873943879,1.38696,1.386535,1.3871725,1.386535,2.1249999999994884,target,4.249999999998977,3.449999999998977,3.0499999999989766,1.6235294117646153,1.4352941176469227
PRIMARY,GBPUSD,1628718300000,1628719200000,1628719200000,-1,-11.59522433052016,1.38644,1.3866749999999999,1.3866749999999999,1.38597,2.3499999999998518,stop,-2.349999999999852,-3.149999999999852,-3.5499999999998524,-1.3404255319149152,-1.510638297872373
PRIMARY,GBPUSD,1628722800000,1628723700000,1628725500000,-1,-3.076697666844284,1.3866100000000001,1.38658,1.3868500000000001,1.38613,2.4000000000001793,time_stop,0.30000000000196536,-0.4999999999980347,-0.8999999999980346,-0.2083333333324989,-0.37499999999915307
PRIMARY,GBPUSD,1628734500000,1628735400000,1628735400000,1,2.9687621140850338,1.38696,1.3868574999999999,1.3868574999999999,1.387165,1.0250000000000536,stop,-1.0250000000011639,-1.825000000001164,-2.225000000001164,-1.780487804879091,-2.170731707318095
PRIMARY,GBPUSD,1628736300000,1628737200000,1628737200000,-1,-9.328516311216852,1.38662,1.3868225,1.3868225,1.386215,2.0249999999999435,stop,-2.0250000000010537,-2.8250000000010536,-3.225000000001054,-1.3950617283956208,-1.5925925925931574
PRIMARY,EURUSD,1628744400000,1628745300000,1628745300000,-1,-2.9242668486416052,1.17351,1.1737575,1.1737575,1.1730150000000001,2.474999999999561,stop,-2.474999999999561,-3.2749999999995607,-3.674999999999561,-1.3232323232323806,-1.484848484848571
PRIMARY,EURUSD,1628745300000,1628746200000,1628746200000,1,3.999054028220528,1.17379,1.1740599999999999,1.173655,1.1740599999999999,1.3499999999999623,target,2.6999999999999247,1.8999999999999246,1.4999999999999247,1.4074074074073908,1.1111111111110863
PRIMARY,GBPUSD,1628744400000,1628745300000,1628746200000,-1,-2.8614627895375775,1.38639,1.3867075,1.3867075,1.385755,3.174999999999706,stop,-3.174999999999706,-3.9749999999997057,-4.374999999999706,-1.2519685039370312,-1.3779527559055469
PRIMARY,EURUSD,1628746200000,1628747100000,1628747100000,1,5.051823163813528,1.17403,1.17391,1.17391,1.1742699999999997,1.1999999999989794,stop,-1.1999999999989797,-1.9999999999989797,-2.39999999999898,-1.6666666666672338,-2.000000000000851
PRIMARY,GBPUSD,1628746200000,1628747100000,1628748900000,1,7.28298572359469,1.38709,1.3869,1.386835,1.3876,2.5500000000000522,time_stop,-1.8999999999991246,-2.6999999999991244,-3.099999999999125,-1.0588235294113997,-1.215686274509436
