position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
174,2020.05.19 03:55:00,2020.05.19 04:28:54,2020.05.19 03:50:00,BUY,0.19,1.09176,1.09126,1.09126,1.09276,50.0,9.5,-10.26,-1.08
176,2020.06.02 03:25:00,2020.06.02 04:52:28,2020.06.02 03:20:00,BUY,0.12,1.11332,1.11253,1.11253,1.1149,79.0,9.48,-9.96,-1.0506329113924051
178,2020.06.04 03:15:00,2020.06.04 03:45:35,2020.06.04 03:10:00,SELL,0.17,1.12299,1.12182,1.12357,1.12183,58.0,9.86,19.21,1.9482758620689657
180,2020.06.05 04:05:00,2020.06.05 05:29:36,2020.06.05 04:00:00,SELL,0.2,1.13358,1.1326,1.13406,1.13262,48.0,9.6,18.8,1.9583333333333335
182,2020.06.10 03:30:00,2020.06.10 05:30:00,2020.06.10 03:25:00,BUY,0.16,1.13415,1.13398,1.13356,1.13533,59.0,9.44,-3.3600000000000003,-0.35593220338983056
184,2020.06.22 01:35:00,2020.06.22 02:19:35,2020.06.22 01:30:00,SELL,0.24,1.11808,1.11727,1.11848,1.11728,40.0,9.6,18.48,1.925
186,2020.06.24 04:55:00,2020.06.24 04:58:15,2020.06.24 04:50:00,BUY,0.49,1.13192,1.13171,1.13172,1.13232,20.0,9.8,-12.25,-1.25
188,2020.06.26 03:50:00,2020.06.26 03:55:39,2020.06.26 03:45:00,SELL,0.21,1.12094,1.1214,1.1214,1.12002,46.0,9.66,-10.5,-1.0869565217391304
190,2020.06.29 04:00:00,2020.06.29 05:36:31,2020.06.29 03:55:00,BUY,0.14,1.12296,1.12432,1.12228,1.12432,68.0,9.52,18.48,1.9411764705882355
192,2020.07.08 03:30:00,2020.07.08 03:34:32,2020.07.08 03:25:00,BUY,0.28,1.12789,1.12753,1.12754,1.12859,35.0,9.8,-11.2,-1.1428571428571428
194,2020.07.09 04:45:00,2020.07.09 04:54:25,2020.07.09 04:40:00,SELL,0.45,1.13361,1.13384,1.13383,1.13317,22.0,9.9,-12.15,-1.2272727272727273
196,2020.07.10 03:35:00,2020.07.10 03:51:14,2020.07.10 03:30:00,SELL,0.19,1.12841,1.12737,1.12893,1.12737,52.0,9.88,19.0,1.923076923076923
198,2020.07.13 02:00:00,2020.07.13 02:10:39,2020.07.13 01:55:00,BUY,0.27,1.13161,1.13125,1.13125,1.13233,36.0,9.72,-10.8,-1.1111111111111112
200,2020.07.14 03:45:00,2020.07.14 03:50:06,2020.07.14 03:40:00,SELL,0.49,1.13446,1.13466,1.13466,1.13406,20.0,9.8,-11.760000000000002,-1.2000000000000002
202,2020.07.15 03:30:00,2020.07.15 05:08:26,2020.07.15 03:25:00,BUY,0.19,1.14132,1.14081,1.14082,1.14232,50.0,9.5,-10.45,-1.0999999999999999
204,2020.07.16 03:20:00,2020.07.16 03:29:40,2020.07.16 03:15:00,SELL,0.28,1.14138,1.14173,1.14173,1.14068,35.0,9.8,-10.920000000000002,-1.1142857142857143
206,2020.07.28 03:20:00,2020.07.28 03:21:27,2020.07.28 03:15:00,BUY,0.36,1.17653,1.17626,1.17626,1.17707,27.0,9.72,-11.16,-1.1481481481481481
208,2020.07.29 03:30:00,2020.07.29 03:42:31,2020.07.29 03:25:00,BUY,0.24,1.17224,1.17184,1.17184,1.17304,40.0,9.6,-10.559999999999999,-1.0999999999999999
210,2020.08.06 04:15:00,2020.08.06 04:50:21,2020.08.06 04:10:00,BUY,0.17,1.18775,1.18719,1.18719,1.18887,56.0,9.52,-10.2,-1.0714285714285714
212,2020.08.12 03:55:00,2020.08.12 05:04:36,2020.08.12 03:50:00,SELL,0.11,1.17342,1.17168,1.17429,1.17168,87.0,9.57,18.7,1.954022988505747
214,2020.08.13 04:20:00,2020.08.13 06:20:00,2020.08.13 04:15:00,BUY,0.11,1.18117,1.18141,1.18033,1.18285,84.0,9.24,2.2,0.2380952380952381
216,2020.08.18 03:20:00,2020.08.18 03:42:53,2020.08.18 03:15:00,BUY,0.39,1.18762,1.18812,1.18737,1.18812,25.0,9.75,17.94,1.84
218,2020.08.21 04:05:00,2020.08.21 04:09:32,2020.08.21 04:00:00,BUY,0.39,1.18727,1.18702,1.18702,1.18777,25.0,9.75,-11.31,-1.1600000000000001
220,2020.08.26 03:50:00,2020.08.26 04:49:59,2020.08.26 03:45:00,SELL,0.23,1.18294,1.1834,1.18336,1.1821,42.0,9.66,-11.5,-1.1904761904761905
222,2020.09.02 03:40:00,2020.09.02 03:54:29,2020.09.02 03:35:00,SELL,0.21,1.19169,1.19075,1.19216,1.19075,47.0,9.87,18.9,1.9148936170212767
224,2020.09.18 03:20:00,2020.09.18 03:51:36,2020.09.18 03:15:00,BUY,0.12,1.18568,1.1849,1.1849,1.18724,78.0,9.36,-9.84,-1.0512820512820513
226,2020.09.24 03:15:00,2020.09.24 05:15:00,2020.09.24 03:10:00,BUY,0.08,1.16672,1.16612,1.16559,1.16898,113.0,9.04,-5.12,-0.5663716814159293
228,2020.09.28 03:25:00,2020.09.28 03:28:12,2020.09.28 03:20:00,SELL,0.45,1.16317,1.16339,1.16339,1.16273,22.0,9.9,-11.700000000000001,-1.1818181818181819
230,2020.09.29 03:25:00,2020.09.29 04:08:12,2020.09.29 03:20:00,BUY,0.18,1.16802,1.16749,1.16749,1.16908,53.0,9.54,-10.26,-1.0754716981132075
232,2020.10.08 03:20:00,2020.10.08 03:20:35,2020.10.08 03:15:00,SELL,0.47,1.17639,1.1766,1.1766,1.17597,21.0,9.87,-11.75,-1.1904761904761905
234,2020.10.15 04:00:00,2020.10.15 05:52:59,2020.10.15 03:55:00,BUY,0.23,1.17479,1.17436,1.17436,1.17565,43.0,9.89,-10.81,-1.0930232558139534
236,2020.10.23 03:50:00,2020.10.23 03:54:28,2020.10.23 03:45:00,SELL,0.12,1.17901,1.1798,1.17978,1.17747,77.0,9.24,-9.96,-1.077922077922078
238,2020.11.03 02:20:00,2020.11.03 02:23:18,2020.11.03 02:15:00,SELL,0.38,1.16393,1.16419,1.16419,1.16341,26.0,9.88,-11.4,-1.1538461538461537
240,2020.11.09 02:20:00,2020.11.09 02:55:33,2020.11.09 02:15:00,SELL,0.28,1.189,1.18828,1.18935,1.1883,35.0,9.8,19.04,1.9428571428571426
242,2020.11.12 02:40:00,2020.11.12 02:48:50,2020.11.12 02:35:00,SELL,0.49,1.17766,1.17787,1.17786,1.17726,20.0,9.8,-12.25,-1.25
244,2020.11.17 02:20:00,2020.11.17 03:17:03,2020.11.17 02:15:00,BUY,0.45,1.18614,1.18662,1.18592,1.18658,22.0,9.9,19.8,2.0
246,2020.11.20 02:45:00,2020.11.20 04:45:00,2020.11.20 02:40:00,BUY,0.36,1.18729,1.18711,1.18702,1.18783,27.0,9.72,-7.92,-0.8148148148148148
248,2020.11.23 01:20:00,2020.11.23 01:45:38,2020.11.23 01:15:00,BUY,0.58,1.18591,1.18625,1.18574,1.18625,17.0,9.86,17.4,1.7647058823529411
250,2020.11.30 00:20:00,2020.11.30 01:38:18,2020.11.30 00:15:00,BUY,0.27,1.1964,1.19712,1.19604,1.19712,36.0,9.72,18.36,1.8888888888888886
252,2020.12.03 02:30:00,2020.12.03 03:43:17,2020.12.03 02:25:00,SELL,0.38,1.21084,1.21112,1.2111,1.21032,26.0,9.88,-12.16,-1.2307692307692306
254,2020.12.04 03:15:00,2020.12.04 03:33:36,2020.12.04 03:10:00,BUY,0.28,1.21479,1.21443,1.21444,1.21549,35.0,9.8,-11.2,-1.1428571428571428
256,2020.12.07 03:00:00,2020.12.07 03:00:39,2020.12.07 02:55:00,BUY,0.66,1.21277,1.21261,1.21262,1.21307,15.0,9.9,-13.200000000000001,-1.3333333333333335
258,2020.12.09 03:10:00,2020.12.09 03:15:36,2020.12.09 03:05:00,BUY,0.62,1.21107,1.21091,1.21091,1.21139,16.0,9.92,-12.4,-1.25
260,2020.12.11 02:20:00,2020.12.11 02:33:37,2020.12.11 02:15:00,BUY,0.52,1.21441,1.21422,1.21422,1.21479,19.0,9.88,-11.96,-1.2105263157894737
262,2020.12.18 02:35:00,2020.12.18 04:35:00,2020.12.18 02:30:00,SELL,0.14,1.22564,1.22542,1.22634,1.22424,70.0,9.8,2.52,0.2571428571428571
264,2020.12.21 02:20:00,2020.12.21 02:33:27,2020.12.21 02:15:00,SELL,0.11,1.22063,1.22147,1.22147,1.21895,84.0,9.24,-9.68,-1.0476190476190477
266,2020.12.22 03:05:00,2020.12.22 03:29:37,2020.12.22 03:00:00,SELL,0.2,1.22326,1.22375,1.22374,1.2223,48.0,9.6,-10.600000000000001,-1.104166666666667
268,2020.12.23 04:05:00,2020.12.23 04:21:37,2020.12.23 04:00:00,BUY,0.23,1.21768,1.21723,1.21725,1.21854,43.0,9.89,-11.27,-1.13953488372093
270,2020.12.31 03:30:00,2020.12.31 04:06:28,2020.12.31 03:25:00,BUY,0.24,1.23002,1.23084,1.22961,1.23084,41.0,9.84,18.72,1.9024390243902438
272,2021.01.04 03:25:00,2021.01.04 05:25:00,2021.01.04 03:20:00,BUY,0.15,1.22472,1.22551,1.22407,1.22602,65.0,9.75,11.25,1.1538461538461537
274,2021.01.08 02:15:00,2021.01.08 02:28:35,2021.01.08 02:10:00,SELL,0.26,1.22664,1.22703,1.22702,1.22588,38.0,9.88,-11.18,-1.131578947368421
276,2021.01.13 02:15:00,2021.01.13 02:32:04,2021.01.13 02:10:00,BUY,0.26,1.22115,1.22078,1.22078,1.22189,37.0,9.62,-10.66,-1.1081081081081081
278,2021.01.14 02:45:00,2021.01.14 04:22:34,2021.01.14 02:40:00,BUY,0.24,1.21645,1.21605,1.21605,1.21725,40.0,9.6,-10.559999999999999,-1.0999999999999999
280,2021.01.15 02:40:00,2021.01.15 02:41:24,2021.01.15 02:35:00,BUY,0.62,1.21563,1.21547,1.21547,1.21595,16.0,9.92,-12.4,-1.25
282,2021.01.19 02:50:00,2021.01.19 02:53:37,2021.01.19 02:45:00,BUY,0.43,1.20861,1.20838,1.20838,1.20907,23.0,9.89,-11.610000000000001,-1.173913043478261
284,2021.01.22 03:05:00,2021.01.22 03:18:39,2021.01.22 03:00:00,BUY,0.25,1.21671,1.21632,1.21632,1.21749,39.0,9.75,-10.75,-1.1025641025641026
286,2021.02.01 01:35:00,2021.02.01 03:00:36,2021.02.01 01:30:00,SELL,0.16,1.2126,1.21322,1.21322,1.21136,62.0,9.92,-10.56,-1.0645161290322582
288,2021.02.01 03:15:00,2021.02.01 03:18:37,2021.02.01 03:10:00,BUY,0.38,1.21288,1.2134,1.21262,1.2134,26.0,9.88,18.240000000000002,1.8461538461538463
290,2021.02.04 02:25:00,2021.02.04 02:36:08,2021.02.04 02:20:00,BUY,0.23,1.20421,1.20377,1.20378,1.20507,43.0,9.89,-11.04,-1.1162790697674416
292,2021.02.05 02:25:00,2021.02.05 02:30:37,2021.02.05 02:20:00,SELL,0.34,1.19654,1.19683,1.19683,1.19596,29.0,9.86,-11.219999999999999,-1.1379310344827587
294,2021.02.10 02:15:00,2021.02.10 02:45:01,2021.02.10 02:10:00,SELL,0.58,1.21159,1.21125,1.21176,1.21125,17.0,9.86,17.4,1.7647058823529411
296,2021.02.11 02:45:00,2021.02.11 04:00:34,2021.02.11 02:40:00,SELL,0.29,1.21148,1.21182,1.21182,1.2108,34.0,9.86,-11.02,-1.1176470588235294
298,2021.02.15 03:25:00,2021.02.15 03:28:28,2021.02.15 03:20:00,SELL,0.52,1.21204,1.21223,1.21223,1.21166,19.0,9.88,-11.96,-1.2105263157894737
