position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
1500,2021.09.17 03:05:00,2021.09.17 04:16:59,2021.09.17 03:00:00,SELL,0.39,1.17633,1.17661,1.17658,1.17583,25.0,9.75,-12.48,-1.28
1502,2021.09.20 03:40:00,2021.09.20 04:58:36,2021.09.20 03:35:00,SELL,0.37,1.17236,1.17184,1.17262,1.17184,26.0,9.62,17.759999999999998,1.846153846153846
1504,2021.09.21 03:10:00,2021.09.21 03:24:32,2021.09.21 03:05:00,BUY,0.25,1.17304,1.17264,1.17265,1.17382,39.0,9.75,-11.0,-1.1282051282051282
1506,2021.09.22 03:30:00,2021.09.22 03:44:04,2021.09.22 03:25:00,SELL,0.54,1.17221,1.17185,1.17239,1.17185,18.0,9.72,17.28,1.7777777777777777
1508,2021.09.23 04:40:00,2021.09.23 05:42:32,2021.09.23 04:35:00,BUY,0.3,1.1691,1.16975,1.16878,1.16974,32.0,9.6,18.3,1.9062500000000002
1510,2021.09.24 03:05:00,2021.09.24 04:58:27,2021.09.24 03:00:00,BUY,0.16,1.17455,1.17393,1.17394,1.17577,61.0,9.76,-10.56,-1.0819672131147542
1512,2021.09.27 03:55:00,2021.09.27 04:16:41,2021.09.27 03:50:00,SELL,0.54,1.17191,1.17209,1.17209,1.17155,18.0,9.72,-11.88,-1.2222222222222223
1514,2021.09.28 03:20:00,2021.09.28 03:24:34,2021.09.28 03:15:00,SELL,0.7,1.16941,1.16955,1.16955,1.16913,14.0,9.8,-12.600000000000001,-1.2857142857142858
1516,2021.09.30 03:10:00,2021.09.30 03:13:35,2021.09.30 03:05:00,SELL,0.65,1.15988,1.16003,1.16003,1.15958,15.0,9.75,-12.35,-1.2666666666666666
1518,2021.10.01 03:45:00,2021.10.01 04:02:27,2021.10.01 03:40:00,SELL,0.35,1.15693,1.15636,1.15721,1.15637,28.0,9.8,18.55,1.8928571428571428
1520,2021.10.04 03:10:00,2021.10.04 03:32:38,2021.10.04 03:05:00,BUY,0.4,1.16095,1.1607,1.16071,1.16143,24.0,9.6,-11.6,-1.2083333333333333
1522,2021.10.05 03:10:00,2021.10.05 03:23:24,2021.10.05 03:05:00,BUY,0.4,1.16194,1.1617,1.1617,1.16242,24.0,9.6,-11.2,-1.1666666666666667
1524,2021.10.06 03:15:00,2021.10.06 05:15:00,2021.10.06 03:10:00,SELL,0.31,1.15941,1.15892,1.15972,1.15879,31.0,9.61,13.95,1.4516129032258065
