case_id,position_id,ts_recv_utc,seconds_from_break_open,seconds_before_entry,raw_i5,aligned_i5,spread_ticks
F009_PID000001598,1598,2021-11-25T00:02:51.808983040+00:00,171.80898304,128.19101696,-0.013029315960912053,-0.013029315960912053,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.809000192+00:00,171.809000192,128.190999808,-0.011382113821138212,-0.011382113821138212,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.809104384+00:00,171.809104384,128.190895616,-0.009771986970684038,-0.009771986970684038,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.809138176+00:00,171.809138176,128.190861824,0.0,0.0,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.809480960+00:00,171.80948096,128.19051904,-0.0016155088852988692,-0.0016155088852988692,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.809645312+00:00,171.809645312,128.190354688,0.003215434083601286,0.003215434083601286,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.809984512+00:00,171.809984512,128.190015488,0.012738853503184714,0.012738853503184714,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.810091264+00:00,171.810091264,128.189908736,0.0176,0.0176,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.810749696+00:00,171.810749696,128.189250304,0.019169329073482427,0.019169329073482427,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.810866432+00:00,171.810866432,128.189133568,0.02073365231259968,0.02073365231259968,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.811088128+00:00,171.811088128,128.188911872,0.022292993630573247,0.022292993630573247,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.814331904+00:00,171.814331904,128.185668096,0.02073365231259968,0.02073365231259968,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.814552832+00:00,171.814552832,128.185447168,0.019169329073482427,0.019169329073482427,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.814690816+00:00,171.814690816,128.185309184,0.0176,0.0176,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.821071616+00:00,171.821071616,128.178928384,0.008077544426494346,0.008077544426494346,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.909163776+00:00,171.909163776,128.090836224,0.00967741935483871,0.00967741935483871,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:51.977244672+00:00,171.977244672,128.022755328,0.014586709886547812,0.014586709886547812,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.011320832+00:00,172.011320832,127.988679168,0.014586709886547812,0.014586709886547812,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.013693696+00:00,172.013693696,127.986306304,0.012987012987012988,0.012987012987012988,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.073390848+00:00,172.073390848,127.926609152,0.008156606851549755,0.008156606851549755,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.073572608+00:00,172.073572608,127.926427392,0.0016420361247947454,0.0016420361247947454,1.0000000000021103
