event_time,utc_time,tag,action,order_type,volume,price,sl,tp,reason,retcode,deal,order,symbol,position_id,entry_price,initial_sl,initial_tp,risk_pts,initial_risk_account,close_source,deal_reason,achievedr,net_profit,swap,commission,fee,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,engine_name,hypothesis_id
2016.02.04 10:03:29,2016.02.04 08:03:29,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,1.07000000,1.11177,1.10694,1.11164,DEAL_REASON_TP,0,37,37,EURUSD,35,1.10807,1.10694,1.11164,113.0000,241.82000000,DEAL_REASON_TP,DEAL_REASON_TP,2.25221239,544.63000000,0.00000000,0.00000000,0.00000000,395.90000000,0.00000000,0.00000000,0.00000000,395.90000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.04 10:05:00,2016.02.04 08:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,1.62000000,1.11082,1.11232,1.10743,DEAL_REASON_EXPERT,0,38,38,EURUSD,38,1.11082,1.11232,1.10743,150.0000,243.00000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.02666667,-6.48000000,0.00000000,-6.48000000,0.00000000,0.00000000,-6.48000000,0.00000000,0.00000000,-6.48000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.04 10:17:37,2016.02.04 08:17:37,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,1.62000000,1.11232,1.11232,1.10743,DEAL_REASON_SL,0,39,39,EURUSD,38,1.11082,1.11232,1.10743,150.0000,243.00000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.02666667,-249.48000000,0.00000000,0.00000000,0.00000000,-243.00000000,0.00000000,0.00000000,0.00000000,-243.00000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.08 13:20:00,2016.02.08 11:20:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,2.46000000,1.11295,1.11196,1.11495,DEAL_REASON_EXPERT,0,40,40,EURUSD,40,1.11295,1.11196,1.11495,99.0000,243.54000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.04040404,-9.84000000,0.00000000,-9.84000000,0.00000000,0.00000000,-9.84000000,0.00000000,0.00000000,-9.84000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.08 13:27:30,2016.02.08 11:27:30,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,2.46000000,1.11196,1.11196,1.11495,DEAL_REASON_SL,0,41,41,EURUSD,40,1.11295,1.11196,1.11495,99.0000,243.54000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.04040404,-253.38000000,0.00000000,0.00000000,0.00000000,-243.54000000,0.00000000,0.00000000,0.00000000,-243.54000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.09 15:05:00,2016.02.09 13:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,3.28000000,1.12368,1.12442,1.11842,DEAL_REASON_EXPERT,0,42,42,EURUSD,42,1.12368,1.12442,1.11842,74.0000,242.72000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.05405405,-13.12000000,0.00000000,-13.12000000,0.00000000,0.00000000,-13.12000000,0.00000000,0.00000000,-13.12000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.09 15:07:03,2016.02.09 13:07:03,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,3.28000000,1.12442,1.12442,1.11842,DEAL_REASON_SL,0,43,43,EURUSD,42,1.12368,1.12442,1.11842,74.0000,242.72000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.05405405,-255.84000000,0.00000000,0.00000000,0.00000000,-242.72000000,0.00000000,0.00000000,0.00000000,-242.72000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.10 09:05:00,2016.02.10 07:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,2.86000000,1.12871,1.12786,1.13111,DEAL_REASON_EXPERT,0,44,44,EURUSD,44,1.12871,1.12786,1.13111,85.0000,243.10000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.04705882,-11.44000000,0.00000000,-11.44000000,0.00000000,0.00000000,-11.44000000,0.00000000,0.00000000,-11.44000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.10 09:12:28,2016.02.10 07:12:28,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,2.86000000,1.12786,1.12786,1.13111,DEAL_REASON_SL,0,45,45,EURUSD,44,1.12871,1.12786,1.13111,85.0000,243.10000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.04705882,-254.54000000,0.00000000,0.00000000,0.00000000,-243.10000000,0.00000000,0.00000000,0.00000000,-243.10000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.10 10:05:00,2016.02.10 08:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,2.18000000,1.12886,1.12775,1.13111,DEAL_REASON_EXPERT,0,46,46,EURUSD,46,1.12886,1.12775,1.13111,111.0000,241.98000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.03603604,-8.72000000,0.00000000,-8.72000000,0.00000000,0.00000000,-8.72000000,0.00000000,0.00000000,-8.72000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
