sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000070-BUY,2026-07-14T19:48:50.328,2026-07-14T19:48:51.545,USDJPY,BUY,ask,162.14800000,162.14800000,0.01000000,1000,1217
Q000070-SELL,2026-07-14T19:48:50.328,2026-07-14T19:48:51.545,USDJPY,SELL,bid,162.14500000,162.14500000,0.01000000,1000,1217
Q000071-BUY,2026-07-14T19:49:31.397,2026-07-14T19:49:32.831,USDJPY,BUY,ask,162.15000000,162.15000000,0.01000000,1000,1434
Q000071-SELL,2026-07-14T19:49:31.397,2026-07-14T19:49:32.831,USDJPY,SELL,bid,162.14700000,162.14700000,0.01000000,1000,1434
Q000072-BUY,2026-07-14T19:50:09.177,2026-07-14T19:50:10.199,USDJPY,BUY,ask,162.14600000,162.14600000,0.01000000,1000,1022
Q000072-SELL,2026-07-14T19:50:09.177,2026-07-14T19:50:10.199,USDJPY,SELL,bid,162.14400000,162.14400000,0.01000000,1000,1022
Q000073-BUY,2026-07-14T19:50:27.696,2026-07-14T19:50:29.181,USDJPY,BUY,ask,162.14700000,162.14600000,0.01000000,1000,1485
Q000073-SELL,2026-07-14T19:50:27.696,2026-07-14T19:50:29.181,USDJPY,SELL,bid,162.14500000,162.14300000,0.01000000,1000,1485
Q000074-BUY,2026-07-14T19:50:44.395,2026-07-14T19:50:45.855,USDJPY,BUY,ask,162.14600000,162.14400000,0.01000000,1000,1460
Q000074-SELL,2026-07-14T19:50:44.395,2026-07-14T19:50:45.855,USDJPY,SELL,bid,162.14300000,162.14200000,0.01000000,1000,1460
Q000075-BUY,2026-07-14T19:51:09.104,2026-07-14T19:51:10.148,USDJPY,BUY,ask,162.14600000,162.14500000,0.01000000,1000,1044
Q000075-SELL,2026-07-14T19:51:09.104,2026-07-14T19:51:10.148,USDJPY,SELL,bid,162.14300000,162.14300000,0.01000000,1000,1044
Q000076-BUY,2026-07-14T19:51:25.810,2026-07-14T19:51:27.301,USDJPY,BUY,ask,162.14600000,162.14700000,0.01000000,1000,1491
Q000076-SELL,2026-07-14T19:51:25.810,2026-07-14T19:51:27.301,USDJPY,SELL,bid,162.14300000,162.14400000,0.01000000,1000,1491
Q000077-BUY,2026-07-14T19:51:58.968,2026-07-14T19:52:00.334,USDJPY,BUY,ask,162.13500000,162.13300000,0.01000000,1000,1366
Q000077-SELL,2026-07-14T19:51:58.968,2026-07-14T19:52:00.334,USDJPY,SELL,bid,162.13200000,162.13100000,0.01000000,1000,1366
Q000078-BUY,2026-07-14T19:52:03.247,2026-07-14T19:52:04.552,USDJPY,BUY,ask,162.12700000,162.13100000,0.01000000,1000,1305
Q000078-SELL,2026-07-14T19:52:03.247,2026-07-14T19:52:04.552,USDJPY,SELL,bid,162.12500000,162.12900000,0.01000000,1000,1305
Q000079-BUY,2026-07-14T19:52:07.213,2026-07-14T19:52:08.653,USDJPY,BUY,ask,162.13200000,162.13000000,0.01000000,1000,1440
Q000079-SELL,2026-07-14T19:52:07.213,2026-07-14T19:52:08.653,USDJPY,SELL,bid,162.13000000,162.12800000,0.01000000,1000,1440
Q000080-BUY,2026-07-14T19:53:05.202,2026-07-14T19:53:06.490,USDJPY,BUY,ask,162.12500000,162.12700000,0.01000000,1000,1288
Q000080-SELL,2026-07-14T19:53:05.202,2026-07-14T19:53:06.490,USDJPY,SELL,bid,162.12300000,162.12500000,0.01000000,1000,1288
Q000081-BUY,2026-07-14T19:53:16.917,2026-07-14T19:53:18.367,USDJPY,BUY,ask,162.12600000,162.12500000,0.01000000,1000,1450
Q000081-SELL,2026-07-14T19:53:16.917,2026-07-14T19:53:18.367,USDJPY,SELL,bid,162.12400000,162.12300000,0.01000000,1000,1450
