case_id,position_id,side,direction,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,risk_pts,recomputed_signal_parity
B-017-P3848,3848,SELL,-1,2021.02.02 11:05:00,1848.73,1851.8700000000001,1843.7060000000001,2021.02.02 12:04:17,1851.87,-9.540000000000001,-0.9817606570428052,59.28333333333333,314.0,True
B-018-P8382,8382,SELL,-1,2024.07.12 11:15:00,2404.51,2406.9,2400.686,2024.07.12 11:21:31,2406.91,-9.799999999999999,-1.0226473606149908,6.516666666666667,239.0,True
B-019-P3072,3072,BUY,1,2020.07.22 11:30:00,1852.11,1847.4299999999998,1859.598,2020.07.22 11:50:41,1847.42,-9.459999999999999,-0.9728162640071144,20.683333333333334,468.0,True
B-020-P4948,4948,BUY,1,2021.11.26 14:30:00,1809.5,1806.28,1814.652,2021.11.26 14:56:39,1806.28,-9.760000000000002,-1.0098022205095591,26.65,322.0,True
B-021-P3748,3748,BUY,1,2021.01.04 14:20:00,1934.05,1931.24,1938.546,2021.01.04 14:45:27,1931.23,-8.58,-0.8829968460134803,25.45,281.0,True
B-022-P6406,6406,BUY,1,2023.01.11 12:30:00,1884.41,1882.6000000000001,1887.306,2023.01.11 12:40:38,1882.6,-9.23,-0.9552760059403057,10.633333333333333,181.0,False
B-023-P7028,7028,BUY,1,2023.07.13 12:30:00,1960.08,1958.9099999999999,1961.952,2023.07.13 13:26:26,1958.9,-9.76,-1.0145279150058448,56.43333333333333,117.0,False
B-024-P9848,9848,SELL,-1,2025.09.25 19:20:00,3739.64,3745.2799999999997,3730.616,2025.09.25 20:35:00,3739.63,-0.07,-0.00732097496979575,75.0,564.0,False
B-025-P7238,7238,SELL,-1,2023.09.04 18:10:00,1938.51,1939.49,1936.942,2023.09.04 19:25:00,1938.88,-3.67,-0.3818228995110794,75.0,98.0,False
B-026-P7184,7184,BUY,1,2023.08.22 14:05:00,1902.46,1901.0900000000001,1904.652,2023.08.22 15:20:00,1901.5,-6.9799999999999995,-0.7260618550609944,75.0,137.0,False
B-027-P8496,8496,BUY,1,2024.08.13 11:25:00,2462.47,2459.9599999999996,2466.486,2024.08.13 11:38:30,2459.96,-7.67,-0.7999532752193874,13.5,251.0,False
B-028-P6350,6350,BUY,1,2022.12.27 18:45:00,1821.24,1817.32,1827.512,2022.12.27 19:33:27,1817.32,-7.92,-0.8187039957096602,48.45,392.0,False
B-029-P6174,6174,SELL,-1,2022.10.31 16:35:00,1639.64,1641.99,1635.88,2022.10.31 16:46:35,1641.99,-9.540000000000001,-0.9863172773838482,11.583333333333334,235.0,True
B-030-P8034,8034,SELL,-1,2024.04.11 13:40:00,2335.07,2338.1600000000003,2330.126,2024.04.11 13:56:28,2338.17,-9.44,-0.9845904296767237,16.466666666666665,309.0,True
B-031-P9144,9144,BUY,1,2025.02.20 13:00:00,2952.67,2948.6,2959.1820000000002,2025.02.20 13:45:35,2948.6,-8.26,-0.862821782385065,45.583333333333336,407.0,True
B-032-P6032,6032,BUY,1,2022.09.27 11:25:00,1634.91,1632.8700000000001,1638.174,2022.09.27 12:31:04,1632.87,-8.3,-0.8571532433026384,66.06666666666666,204.0,True
B-033-P8940,8940,BUY,1,2024.12.18 13:50:00,2647.43,2645.7599999999998,2650.102,2024.12.18 13:53:42,2645.72,-8.81,-0.919965699167666,3.7,167.0,False
B-034-P7380,7380,BUY,1,2023.10.09 15:25:00,1848.95,1847.01,1852.054,2023.10.09 15:37:15,1847.01,-7.9,-0.8216834567453348,12.25,194.0,True
B-035-P2730,2730,BUY,1,2020.03.30 18:35:00,1620.55,1617.3999999999999,1625.59,2020.03.30 19:50:00,1619.58,-3.01,-0.30855376646764776,75.0,315.0,False
B-036-P9216,9216,SELL,-1,2025.03.12 14:25:00,2913.75,2916.35,2909.59,2025.03.12 14:36:42,2916.44,-8.25,-0.8626785195558241,11.7,260.0,True
B-037-P4402,4402,BUY,1,2021.06.24 16:05:00,1784.59,1781.87,1788.942,2021.06.24 16:44:15,1781.86,-8.290000000000001,-0.8552059034584982,39.25,272.0,True
B-038-P8502,8502,BUY,1,2024.08.14 13:05:00,2474.15,2471.59,2478.246,2024.08.14 13:17:13,2471.59,-7.82,-0.8156584731582651,12.216666666666667,256.0,True
B-039-P6886,6886,BUY,1,2023.06.02 15:25:00,1979.47,1977.06,1983.326,2023.06.02 15:30:12,1977.06,-7.35,-0.7634643164568939,5.2,241.0,False
B-040-P1516,1516,BUY,1,2019.04.18 13:10:00,1276.01,1274.17,1278.954,2019.04.18 14:25:00,1275.07,-4.819999999999999,-0.4893693643203639,75.0,184.0,True
B-041-P2656,2656,SELL,-1,2020.02.26 17:45:00,1636.44,1641.67,1628.0720000000001,2020.02.26 19:00:00,1639.95,-3.55,-0.3638578650234913,75.0,523.0,True
B-042-P822,822,BUY,1,2018.09.21 12:45:00,1208.29,1206.96,1210.418,2018.09.21 13:10:04,1206.96,-9.47,-0.9555927858900016,25.066666666666666,133.0,False
B-043-P3570,3570,SELL,-1,2020.11.18 10:15:00,1881.66,1883.78,1878.268,2020.11.18 10:29:29,1883.78,-8.64,-0.8883278349199,14.483333333333333,212.0,True
B-044-P9434,9434,BUY,1,2025.05.13 11:45:00,3254.61,3250.65,3260.946,2025.05.13 11:55:41,3250.64,-8.08,-0.8456323299473154,10.683333333333334,396.0,False
