event_time_entry,action,order_type,volume,price_entry,symbol,position_id,risk_pts,initial_risk_account,deal,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,event_time_exit,price_exit,net_usd,server_time,utc_time,variant,regime,event,status,adx,atr,rsi,session_vwap,session_sd,shadow_vwap,shadow_sd,session_anchor_utc,avwap_anchor_server,avwap_confirmed_server,anchored_vwap,m15_close,m15_vwap,entry,stop,target,estimated_cost_pips,spread_pips,direction,entry_time_server,entry_time_utc,exit_time_server,exit_time_utc,entry_price,exit_price,stop_price,target_price,net_R,outcome,hold_minutes,regime_label,session_phase,risk_bucket,atr_bucket,exit_class
2019-10-29 13:15:00,OPEN,SELL,2.79,1.10787,EURUSD,42,75.0,251.1,42,0.0,-11.16,0.0,0.0,-11.16,0,2019-10-29 14:27:22,1.10862,-220.41,2019-10-29 13:15:00,2019-10-29 10:15:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,22.689954,0.0004,45.364122,1.10805,0.00034,1.10799,0.00027,2019.10.29 08:00:00,2019.10.29 13:00:00,2019.10.29 13:15:00,1.10843,1.10787,1.10807,1.10787,1.10862,1.10652,1.6,0.1,-1,2019-10-29 13:15:00,2019-10-29 10:15:00,2019-10-29 14:27:22,2019-10-29 11:27:22,1.10787,1.10862,1.10862,1.10652,-0.8777777777777778,LOSS,72.36666666666666,TREND,LONDON_EARLY,LOW,LOW,STOP_LEVEL
2019-11-08 12:45:00,OPEN,SELL,2.32,1.10399,EURUSD,44,93.0,250.56,44,0.0,-9.28,0.0,0.0,-9.28,0,2019-11-08 14:25:00,1.10301,218.08,2019-11-08 12:45:00,2019-11-08 10:45:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,21.530173,0.00035,38.484479,1.10465,0.00036,1.10462,0.00032,2019.11.08 08:00:00,2019.11.08 11:40:00,2019.11.08 11:55:00,1.10431,1.10399,1.10458,1.10399,1.10492,1.10232,1.6,0.1,-1,2019-11-08 12:45:00,2019-11-08 10:45:00,2019-11-08 14:25:00,2019-11-08 12:25:00,1.10399,1.10301,1.10492,1.10232,0.8703703703703705,WIN,100.0,TREND,LONDON_EARLY,MID,LOW,NON_LEVEL_FINAL_CLOSE
2019-11-26 18:00:00,OPEN,SELL,2.82,1.10121,EURUSD,46,74.0,250.98,46,0.0,-11.28,0.0,0.0,-11.28,0,2019-11-26 19:28:38,1.10195,-219.96,2019-11-26 18:00:00,2019-11-26 16:00:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,25.472021,0.00035,43.97719,1.10158,0.00029,1.10161,0.00027,2019.11.26 08:00:00,2019.11.26 17:40:00,2019.11.26 17:55:00,1.10151,1.10121,1.10158,1.10121,1.10195,1.09988,1.6,0.1,-1,2019-11-26 18:00:00,2019-11-26 16:00:00,2019-11-26 19:28:38,2019-11-26 17:28:38,1.10121,1.10195,1.10195,1.09988,-0.8764044943820225,LOSS,88.63333333333334,TREND,NY_LATE,LOW,LOW,STOP_LEVEL
2019-12-10 16:45:00,OPEN,SELL,2.63,1.10761,EURUSD,48,80.0,249.85,48,0.0,-10.52,0.0,0.0,-10.52,0,2019-12-10 17:50:32,1.10842,-223.55,2019-12-10 16:45:00,2019-12-10 14:45:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,43.298834,0.00035,45.480943,1.10773,0.00033,1.10771,0.00033,2019.12.10 08:00:00,2019.12.10 15:30:00,2019.12.10 15:45:00,1.10787,1.10765,1.10773,1.10761,1.10841,1.10617,1.6,0.1,-1,2019-12-10 16:45:00,2019-12-10 14:45:00,2019-12-10 17:50:32,2019-12-10 15:50:32,1.10761,1.10842,1.10841,1.10617,-0.8947368421052633,LOSS,65.53333333333333,TREND,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL
2019-12-17 16:00:00,OPEN,SELL,2.29,1.1146,EURUSD,50,94.0,249.61,50,0.0,-9.16,0.0,0.0,-9.16,0,2019-12-17 17:22:35,1.11555,-226.71,2019-12-17 16:00:00,2019-12-17 14:00:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,35.072711,0.00049,32.015734,1.11522,0.00117,1.11527,0.0011,2019.12.17 08:00:00,2019.12.17 15:30:00,2019.12.17 15:45:00,1.11546,1.1146,1.11522,1.1146,1.11554,1.11291,1.8,0.3,-1,2019-12-17 16:00:00,2019-12-17 14:00:00,2019-12-17 17:22:35,2019-12-17 15:22:35,1.1146,1.11555,1.11554,1.11291,-0.908256880733945,LOSS,82.58333333333333,TREND,LONDON_NY_OVERLAP,MID,LOW,STOP_LEVEL
2019-12-19 17:10:00,OPEN,SELL,2.71,1.11203,EURUSD,52,77.0,249.32,52,0.0,-10.84,0.0,0.0,-10.84,0,2019-12-19 18:45:39,1.1128,-219.51,2019-12-19 17:10:00,2019-12-19 15:10:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,21.315727,0.00041,49.070363,1.11251,0.00075,1.11264,0.00073,2019.12.19 08:00:00,2019.12.19 16:35:00,2019.12.19 16:50:00,1.11228,1.11222,1.11249,1.11203,1.1128,1.11064,1.7,0.2,-1,2019-12-19 17:10:00,2019-12-19 15:10:00,2019-12-19 18:45:39,2019-12-19 16:45:39,1.11203,1.1128,1.1128,1.11064,-0.8804347826086957,LOSS,95.65,TREND,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL
2020-01-02 18:00:00,OPEN,BUY,1.17,1.12005,EURUSD,54,196.0,246.87,54,0.0,-4.68,0.0,0.0,-4.68,0,2020-01-02 18:40:34,1.11809,-234.0,2020-01-02 18:00:00,2020-01-02 16:00:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,27.967397,0.00052,72.300948,1.11916,0.00118,1.1194,0.00113,2020.01.02 08:00:00,2020.01.02 17:25:00,2020.01.02 17:40:00,1.11834,1.12004,1.11918,1.12005,1.11809,1.12358,1.6,0.1,1,2020-01-02 18:00:00,2020-01-02 16:00:00,2020-01-02 18:40:34,2020-01-02 16:40:34,1.12005,1.11809,1.11809,1.12358,-0.9478672985781991,LOSS,40.56666666666667,TREND,NY_LATE,HIGH,MID,STOP_LEVEL
2020-01-21 12:05:00,OPEN,BUY,2.58,1.10968,EURUSD,56,81.0,247.68,56,0.0,-10.32,0.0,0.0,-10.32,0,2020-01-21 13:45:00,1.11052,206.4,2020-01-21 12:05:00,2020-01-21 10:05:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,26.099131,0.00033,60.395399,1.10909,0.00025,1.10903,0.00023,2020.01.21 08:00:00,2020.01.21 11:50:00,2020.01.21 12:05:00,1.10939,1.10906,1.10904,1.10968,1.10887,1.11114,1.8,0.3,1,2020-01-21 12:05:00,2020-01-21 10:05:00,2020-01-21 13:45:00,2020-01-21 11:45:00,1.10968,1.11052,1.10887,1.11114,0.8333333333333334,WIN,100.0,TREND,LONDON_EARLY,LOW,LOW,NON_LEVEL_FINAL_CLOSE
2020-01-23 16:25:00,OPEN,BUY,1.63,1.10702,EURUSD,58,137.0,247.76,58,0.0,-6.52,0.0,0.0,-6.52,0,2020-01-23 17:19:24,1.10565,-229.83,2020-01-23 16:25:00,2020-01-23 14:25:00,PRIMARY_TICK_LONDON,0,RANGE_LONG,ORDER_ACCEPTED,24.691751,0.00093,34.274621,1.10864,0.00072,1.10873,0.0005,2020.01.23 08:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.10702,1.10565,1.10864,1.6,0.1,1,2020-01-23 16:25:00,2020-01-23 14:25:00,2020-01-23 17:19:24,2020-01-23 15:19:24,1.10702,1.10565,1.10565,1.10864,-0.9276315789473685,LOSS,54.4,RANGE,LONDON_NY_OVERLAP,HIGH,HIGH,STOP_LEVEL
2020-02-04 17:45:00,OPEN,BUY,4.28,1.10363,EURUSD,60,43.0,248.24,60,0.0,-17.12,0.0,0.0,-17.12,0,2020-02-04 19:25:00,1.10393,111.28,2020-02-04 17:45:00,2020-02-04 15:45:00,PRIMARY_TICK_LONDON,0,RANGE_LONG,ORDER_ACCEPTED,27.096646,0.00033,31.116989,1.10504,0.0006,1.10506,0.00055,2020.02.04 08:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.10363,1.1032,1.10504,1.7,0.2,1,2020-02-04 17:45:00,2020-02-04 15:45:00,2020-02-04 19:25:00,2020-02-04 17:25:00,1.10363,1.10393,1.1032,1.10504,0.4482758620689655,WIN,100.0,RANGE,LONDON_NY_OVERLAP,LOW,LOW,NON_LEVEL_FINAL_CLOSE
2020-02-07 17:45:00,OPEN,BUY,1.48,1.09739,EURUSD,62,152.0,247.16,62,0.0,-5.92,0.0,0.0,-5.92,0,2020-02-07 18:11:22,1.09587,-230.88,2020-02-07 17:45:00,2020-02-07 15:45:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,25.932754,0.0006,61.233097,1.09618,0.00063,1.09601,0.00062,2020.02.07 08:00:00,2020.02.07 17:25:00,2020.02.07 17:40:00,1.09656,1.09736,1.09618,1.09739,1.09587,1.10013,1.8,0.3,1,2020-02-07 17:45:00,2020-02-07 15:45:00,2020-02-07 18:11:22,2020-02-07 16:11:22,1.09739,1.09587,1.09587,1.10013,-0.9341317365269461,LOSS,26.366666666666667,TREND,LONDON_NY_OVERLAP,HIGH,MID,STOP_LEVEL
2020-02-18 17:40:00,OPEN,BUY,2.72,1.08198,EURUSD,64,76.0,247.52,64,0.0,-10.88,0.0,0.0,-10.88,0,2020-02-18 18:41:33,1.08121,-220.32,2020-02-18 17:40:00,2020-02-18 15:40:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,23.328547,0.0005,62.83456,1.08172,0.00133,1.08193,0.00124,2020.02.18 08:00:00,2020.02.18 17:15:00,2020.02.18 17:30:00,1.08152,1.08173,1.08172,1.08198,1.08122,1.08335,1.6,0.1,1,2020-02-18 17:40:00,2020-02-18 15:40:00,2020-02-18 18:41:33,2020-02-18 16:41:33,1.08198,1.08121,1.08122,1.08335,-0.8901098901098901,LOSS,61.55,TREND,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL
