case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_043_PID000000344,43,344,2021-06-01T03:40:00,2021-06-01T03:35:00,-1,SELL,1.22288,1.2235,1.22164,2021-06-01T04:18:24,1.22351,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.72000000,-1.0806451613,0.16,62.0,9.92,38.4000,2021
R100_044_PID000000328,44,328,2021-05-06T04:20:00,2021-05-06T04:15:00,-1,SELL,1.20047,1.20063,1.20015,2021-05-06T04:22:23,1.20063,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.40000000,-1.2500000000,0.62,16.0,9.92,2.3833,2021
R100_045_PID000000212,45,212,2020-08-12T03:55:00,2020-08-12T03:50:00,-1,SELL,1.17342,1.17429,1.17168,2020-08-12T05:04:36,1.17168,TP_LIKE,WIN_NET_POSITIVE,18.70000000,1.9540229885,0.11,87.0,9.57,69.6000,2020
R100_046_PID000000352,46,352,2021-06-28T03:20:00,2021-06-28T03:15:00,-1,SELL,1.19365,1.19422,1.19251,2021-06-28T04:38:04,1.19251,TP_LIKE,WIN_NET_POSITIVE,18.70000000,1.9298245614,0.17,57.0,9.69,78.0667,2021
R100_047_PID000000260,47,260,2020-12-11T02:20:00,2020-12-11T02:15:00,1,BUY,1.21441,1.21422,1.21479,2020-12-11T02:33:37,1.21422,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.96000000,-1.2105263158,0.52,19.0,9.88,13.6167,2020
R100_048_PID000000150,48,150,2020-03-20T02:40:00,2020-03-20T02:35:00,1,BUY,1.06672,1.06607,1.06802,2020-03-20T03:19:54,1.06803,TP_LIKE,WIN_NET_POSITIVE,19.05000000,1.9538461538,0.15,65.0,9.75,39.9000,2020
R100_049_PID000000068,49,68,2019-08-12T04:20:00,2019-08-12T04:15:00,1,BUY,1.12055,1.12023,1.12119,2019-08-12T06:20:00,1.1207,TIMEOUT_OR_OTHER,WIN_NET_POSITIVE,3.41000000,0.3437500000,0.31,32.0,9.92,120.0000,2019
R100_050_PID000000044,50,44,2019-06-25T03:55:00,2019-06-25T03:50:00,1,BUY,1.14021,1.13965,1.14133,2019-06-25T05:55:00,1.14014,TIMEOUT_OR_OTHER,LOSS_NET_NONPOSITIVE,-1.87000000,-0.1964285714,0.17,56.0,9.52,120.0000,2019
R100_051_PID000000522,51,522,2022-12-29T03:15:00,2022-12-29T03:10:00,1,BUY,1.06316,1.06243,1.06462,2022-12-29T05:10:13,1.06243,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.01000000,-1.0547945205,0.13,73.0,9.49,115.2167,2022
R100_052_PID000000074,52,74,2019-08-19T03:55:00,2019-08-19T03:50:00,-1,SELL,1.10917,1.10931,1.10889,2019-08-19T04:18:59,1.10889,TP_LIKE,WIN_NET_POSITIVE,17.04000000,1.7142857143,0.71,14.0,9.94,23.9833,2019
R100_053_PID000000228,53,228,2020-09-28T03:25:00,2020-09-28T03:20:00,-1,SELL,1.16317,1.16339,1.16273,2020-09-28T03:28:12,1.16339,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.70000000,-1.1818181818,0.45,22.0,9.9,3.2000,2020
