sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000075-SELL,2026-07-14T16:55:41.393,2026-07-14T16:55:42.434,EURUSD,SELL,bid,1.14515000,1.14516000,0.00010000,1000,1041
Q000076-BUY,2026-07-14T16:56:56.338,2026-07-14T16:56:57.402,EURUSD,BUY,ask,1.14526000,1.14525000,0.00010000,1000,1064
Q000076-SELL,2026-07-14T16:56:56.338,2026-07-14T16:56:57.402,EURUSD,SELL,bid,1.14524000,1.14523000,0.00010000,1000,1064
Q000077-BUY,2026-07-14T16:57:00.623,2026-07-14T16:57:01.748,EURUSD,BUY,ask,1.14525000,1.14529000,0.00010000,1000,1125
Q000077-SELL,2026-07-14T16:57:00.623,2026-07-14T16:57:01.748,EURUSD,SELL,bid,1.14523000,1.14527000,0.00010000,1000,1125
Q000078-BUY,2026-07-14T16:57:06.477,2026-07-14T16:57:07.973,EURUSD,BUY,ask,1.14536000,1.14536000,0.00010000,1000,1496
Q000078-SELL,2026-07-14T16:57:06.477,2026-07-14T16:57:07.973,EURUSD,SELL,bid,1.14534000,1.14534000,0.00010000,1000,1496
Q000079-BUY,2026-07-14T16:57:17.013,2026-07-14T16:57:18.017,EURUSD,BUY,ask,1.14533000,1.14533000,0.00010000,1000,1004
Q000079-SELL,2026-07-14T16:57:17.013,2026-07-14T16:57:18.017,EURUSD,SELL,bid,1.14531000,1.14531000,0.00010000,1000,1004
Q000080-BUY,2026-07-14T16:58:25.519,2026-07-14T16:58:26.581,EURUSD,BUY,ask,1.14524000,1.14524000,0.00010000,1000,1062
Q000080-SELL,2026-07-14T16:58:25.519,2026-07-14T16:58:26.581,EURUSD,SELL,bid,1.14522000,1.14522000,0.00010000,1000,1062
Q000081-BUY,2026-07-14T16:58:41.994,2026-07-14T16:58:43.440,EURUSD,BUY,ask,1.14523000,1.14521000,0.00010000,1000,1446
Q000081-SELL,2026-07-14T16:58:41.994,2026-07-14T16:58:43.440,EURUSD,SELL,bid,1.14521000,1.14519000,0.00010000,1000,1446
Q000082-BUY,2026-07-14T16:58:55.047,2026-07-14T16:58:56.182,EURUSD,BUY,ask,1.14526000,1.14525000,0.00010000,1000,1135
Q000082-SELL,2026-07-14T16:58:55.047,2026-07-14T16:58:56.182,EURUSD,SELL,bid,1.14524000,1.14523000,0.00010000,1000,1135
Q000083-BUY,2026-07-14T16:59:00.277,2026-07-14T16:59:01.701,EURUSD,BUY,ask,1.14529000,1.14530000,0.00010000,1000,1424
Q000083-SELL,2026-07-14T16:59:00.277,2026-07-14T16:59:01.701,EURUSD,SELL,bid,1.14519000,1.14520000,0.00010000,1000,1424
Q000084-BUY,2026-07-14T16:59:09.744,2026-07-14T16:59:11.091,EURUSD,BUY,ask,1.14526000,1.14529000,0.00010000,1000,1347
Q000084-SELL,2026-07-14T16:59:09.744,2026-07-14T16:59:11.091,EURUSD,SELL,bid,1.14516000,1.14519000,0.00010000,1000,1347
Q000085-BUY,2026-07-14T16:59:12.889,2026-07-14T16:59:14.075,EURUSD,BUY,ask,1.14529000,1.14530000,0.00010000,1000,1186
Q000085-SELL,2026-07-14T16:59:12.889,2026-07-14T16:59:14.075,EURUSD,SELL,bid,1.14519000,1.14520000,0.00010000,1000,1186
Q000086-BUY,2026-07-14T16:59:26.335,2026-07-14T16:59:27.797,EURUSD,BUY,ask,1.14532000,1.14533000,0.00010000,1000,1462
Q000086-SELL,2026-07-14T16:59:26.335,2026-07-14T16:59:27.797,EURUSD,SELL,bid,1.14522000,1.14523000,0.00010000,1000,1462
Q000087-BUY,2026-07-14T16:59:45.329,2026-07-14T16:59:46.544,EURUSD,BUY,ask,1.14525000,1.14523000,0.00010000,1000,1215
Q000087-SELL,2026-07-14T16:59:45.329,2026-07-14T16:59:46.544,EURUSD,SELL,bid,1.14515000,1.14513000,0.00010000,1000,1215
Q000088-BUY,2026-07-14T17:00:04.099,2026-07-14T17:00:05.348,EURUSD,BUY,ask,1.14511000,1.14511000,0.00010000,1000,1249
Q000088-SELL,2026-07-14T17:00:04.099,2026-07-14T17:00:05.348,EURUSD,SELL,bid,1.14501000,1.14501000,0.00010000,1000,1249
Q000089-BUY,2026-07-14T17:00:18.654,2026-07-14T17:00:19.850,EURUSD,BUY,ask,1.14519000,1.14518000,0.00010000,1000,1196
Q000089-SELL,2026-07-14T17:00:18.654,2026-07-14T17:00:19.850,EURUSD,SELL,bid,1.14509000,1.14508000,0.00010000,1000,1196
Q000090-BUY,2026-07-14T17:00:34.830,2026-07-14T17:00:36.089,EURUSD,BUY,ask,1.14523000,1.14522000,0.00010000,1000,1259
Q000090-SELL,2026-07-14T17:00:34.830,2026-07-14T17:00:36.089,EURUSD,SELL,bid,1.14513000,1.14512000,0.00010000,1000,1259
