position_id,engine_name,outcome,net_r,conservative_mfe_r,conservative_mae_r,reached_0_25r,reached_0_50r,reached_1_00r
254,TREND_SHORT,LOSS,-1.01970443,0.09852216748767503,1.0,False,False,False
256,TREND_LONG,LOSS,-1.02614379,0.0,1.0,False,False,False
258,BREAKOUT_SHORT,LOSS,-1.05333333,0.0,1.0,False,False,False
260,TREND_LONG,LOSS,-0.25185185,0.625925925925932,0.5666666666666941,True,True,False
262,TREND_SHORT,LOSS,-1.03508772,0.32456140350877877,1.0,True,False,False
264,TREND_LONG,WIN,1.45348837,1.499999999999871,0.7209302325581456,True,True,True
266,TREND_LONG,LOSS,-1.02597403,0.5259740259740541,1.0,True,True,False
268,BREAKOUT_LONG,LOSS,-0.325,1.1750000000000393,0.32916666666660843,True,True,True
270,BREAKOUT_SHORT,WIN,1.45714286,1.514285714285968,0.1571428571429523,True,True,True
272,TREND_SHORT,LOSS,-0.14159292,0.8672566371680668,0.8230088495573569,True,True,False
274,BREAKOUT_SHORT,LOSS,-1.05479452,0.1369863013698255,1.0,False,False,False
276,BREAKOUT_SHORT,WIN,1.45918367,1.5204081632649824,0.8163265306122125,True,True,True
278,TREND_LONG,LOSS,-0.08241758,0.10989010989022385,0.6868131868131976,False,False,False
280,TREND_SHORT,LOSS,-0.39269406,0.8219178082192211,0.40182648401827686,True,True,False
282,TREND_LONG,LOSS,-1.06410256,0.6538461538461648,1.0128205128205967,True,True,False
284,BREAKOUT_SHORT,LOSS,-1.05882353,0.23529411764696279,1.0,False,False,False
286,TREND_LONG,LOSS,-1.04123711,0.30927835051568575,1.0,True,False,False
288,TREND_SHORT,LOSS,-1.04310345,1.3275862068963866,1.0086206896550372,True,True,True
290,TREND_SHORT,LOSS,-1.01069519,0.06951871657751915,1.0,False,False,False
292,BREAKOUT_SHORT,LOSS,-1.05714286,0.6285714285712927,1.0,True,True,False
294,BREAKOUT_LONG,LOSS,-1.06666667,0.0,1.0,False,False,False
296,TREND_SHORT,LOSS,-0.22891566,1.0240963855423297,0.867469879518256,True,True,True
298,TREND_SHORT,LOSS,-0.73426573,0.8391608391610075,0.811188811188948,True,True,False
300,TREND_SHORT,WIN,0.79591837,1.0561224489796208,0.5459183673469006,True,True,True
302,BREAKOUT_SHORT,WIN,1.46575342,1.520547945205617,0.17808219178079693,True,True,True
304,TREND_LONG,WIN,0.31468531,1.1818181818181253,0.055944055944110234,True,True,True
