case_id,position_id,entry_time_server,exit_time_server,entry_time_utc,exit_time_utc,server_utc_offset_h,direction,side,entry,sl,tp,exit,volume,initial_risk_account,risk_pips,net_usd,net_r,holding_minutes,weekday_utc,session_utc,selection_reason,label,close_deal_id,exact_exit_class,exact_exit_comment,active_stop_at_exit,telemetry_status,h1_close,h1_ema,rolling_vwap_48,atr14,spread_pips
VRAS-008-R039-P5870,5870,2022.04.20 17:00:00,2022.04.20 19:00:00,2022.04.20 14:00:00,2022.04.20 16:00:00,3,1,BUY,1.08418,1.08247,1.08675,1.08548,0.28,47.88,17.1,35.28,0.7368421052631579,120.0,Wednesday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,5871,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.08418,1.08417,1.08398,0.00072,0.1
VRAS-008-R040-P5962,5962,2022.05.05 09:20:00,2022.05.05 09:29:30,2022.05.05 06:20:00,2022.05.05 06:29:30,3,1,BUY,1.06167,1.06025,1.0638,1.06024,0.33,46.86,14.2,-48.51,-1.0352112676056338,9.5,Thursday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5963,INITIAL_SL,sl 1.06025,1.06025,ORDER_ACCEPTED,1.06119,1.05976,1.06158,0.00058,0.1
VRAS-008-R041-P792,792,2019.06.26 12:15:00,2019.06.26 12:33:29,2019.06.26 09:15:00,2019.06.26 09:33:29,3,1,BUY,1.1365,1.13528,1.13833,1.13527,0.4,48.8,12.200000000000001,-50.800000000000004,-1.0409836065573772,18.483333333333334,Wednesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,793,INITIAL_SL,sl 1.13528,1.13528,ORDER_ACCEPTED,1.1358,1.13161,1.13622,0.00045,0.8
VRAS-008-R042-P3774,3774,2021.03.03 00:25:00,2021.03.03 02:25:00,2021.03.02 22:25:00,2021.03.03 00:25:00,2,-1,SELL,1.20863,1.20927,1.20767,1.20889,0.76,48.64,6.4,-22.8,-0.46875,120.0,Tuesday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,3775,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.20893,1.21034,1.20879,0.00024,1.1
VRAS-008-R043-P4956,4956,2021.10.28 09:45:00,2021.10.28 10:36:25,2021.10.28 06:45:00,2021.10.28 07:36:25,3,-1,SELL,1.16016,1.16077,1.15925,1.16077,0.79,48.19,6.1000000000000005,-51.349999999999994,-1.0655737704918031,51.416666666666664,Thursday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,4957,INITIAL_SL,sl 1.16077,1.16077,ORDER_ACCEPTED,1.16008,1.16136,1.16045,0.00027,0.2
VRAS-008-R044-P5394,5394,2022.01.25 17:05:00,2022.01.25 18:25:36,2022.01.25 15:05:00,2022.01.25 16:25:36,2,-1,SELL,1.12712,1.12821,1.12549,1.12821,0.44,47.96,10.9,-49.72,-1.036697247706422,80.6,Tuesday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5395,INITIAL_SL,sl 1.12821,1.12821,ORDER_ACCEPTED,1.12744,1.13436,1.12736,0.0005,0.7
VRAS-008-R045-P788,788,2019.06.25 17:50:00,2019.06.25 17:56:40,2019.06.25 14:50:00,2019.06.25 14:56:40,3,1,BUY,1.13903,1.13802,1.14055,1.13802,0.49,49.49,10.1,-51.45,-1.0396039603960396,6.666666666666667,Tuesday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,789,INITIAL_SL,sl 1.13802,1.13802,ORDER_ACCEPTED,1.13905,1.1306,1.13888,0.00056,0.8
VRAS-008-R046-P1016,1016,2019.08.14 15:50:00,2019.08.14 16:59:42,2019.08.14 12:50:00,2019.08.14 13:59:42,3,-1,SELL,1.11778,1.11922,1.11562,1.11562,0.34,48.96,14.4,72.08,1.472222222222222,69.7,Wednesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,1017,TARGET,tp 1.11562,1.11562,ORDER_ACCEPTED,1.11835,1.11837,1.11805,0.00056,0.3
VRAS-008-R047-P762,762,2019.06.20 10:15:00,2019.06.20 10:59:38,2019.06.20 07:15:00,2019.06.20 07:59:38,3,1,BUY,1.12795,1.12673,1.12978,1.12978,0.4,48.8,12.200000000000001,71.60000000000001,1.4672131147540985,44.63333333333333,Thursday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,763,TARGET,tp 1.12978,1.12978,ORDER_ACCEPTED,1.12751,1.12416,1.12728,0.00049,0.8
VRAS-008-R048-P2946,2946,2020.10.01 10:00:00,2020.10.01 10:05:38,2020.10.01 07:00:00,2020.10.01 07:05:38,3,1,BUY,1.17535,1.17424,1.17702,1.17423,0.44,48.84,11.1,-51.04,-1.045045045045045,5.633333333333334,Thursday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,2947,INITIAL_SL,sl 1.17424,1.17424,ORDER_ACCEPTED,1.17532,1.17169,1.17466,0.00047,0.2
VRAS-008-R049-P5978,5978,2022.05.09 09:45:00,2022.05.09 10:13:28,2022.05.09 06:45:00,2022.05.09 07:13:28,3,-1,SELL,1.05052,1.05158,1.04893,1.05159,0.45,47.7,10.600000000000001,-49.949999999999996,-1.0471698113207546,28.466666666666665,Monday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5979,INITIAL_SL,sl 1.05158,1.05158,ORDER_ACCEPTED,1.05075,1.05769,1.05088,0.00051,0.1
VRAS-008-R050-P6804,6804,2022.10.10 10:20:00,2022.10.10 10:42:39,2022.10.10 07:20:00,2022.10.10 07:42:39,3,-1,SELL,0.97251,0.97346,0.97109,0.97109,0.5,47.5,9.5,69.0,1.4526315789473685,22.65,Monday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,6805,TARGET,tp 0.97109,0.97109,ORDER_ACCEPTED,0.97186,0.98148,0.97293,0.00064,0.1
VRAS-008-R051-P2138,2138,2020.05.05 01:05:00,2020.05.05 03:05:00,2020.05.04 22:05:00,2020.05.05 00:05:00,3,1,BUY,1.09036,1.08981,1.09119,1.09058,0.89,48.95,5.5,16.02,0.32727272727272727,120.0,Monday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,2139,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.09002,1.08896,1.09027,0.00028,0.5
VRAS-008-R052-P2570,2570,2020.07.24 12:35:00,2020.07.24 13:43:19,2020.07.24 09:35:00,2020.07.24 10:43:19,3,1,BUY,1.16078,1.15895,1.16353,1.15893,0.26,47.58,18.3,-49.14,-1.0327868852459017,68.31666666666666,Friday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,2571,INITIAL_SL,sl 1.15895,1.15895,ORDER_ACCEPTED,1.16002,1.148,1.16062,0.00065,0.4
VRAS-008-R053-P2076,2076,2020.04.22 01:25:30,2020.04.22 03:25:00,2020.04.21 22:25:30,2020.04.22 00:25:00,3,-1,SELL,1.08566,1.08642,1.08452,1.08549,0.64,48.64,7.6,8.32,0.17105263157894737,119.5,Tuesday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,2077,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.08556,1.08817,1.08567,0.00037,0.4
VRAS-008-R054-P4744,4744,2021.09.15 09:25:00,2021.09.15 09:56:02,2021.09.15 06:25:00,2021.09.15 06:56:02,3,-1,SELL,1.18047,1.18106,1.17959,1.18107,0.82,48.38,5.9,-52.480000000000004,-1.0847457627118644,31.033333333333335,Wednesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,4745,INITIAL_SL,sl 1.18106,1.18106,ORDER_ACCEPTED,1.18055,1.18202,1.18058,0.0003,0.1
